"Status","Year","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","London","10","10","38800","34500"
"In post","2022","Attorney General's Departments","Commercial","Outside London","30","30","38920","38180"
"In post","2022","Attorney General's Departments","Communications","London","65","65","42220","39750"
"In post","2022","Attorney General's Departments","Communications","Outside London","25","25","37150","38540"
"In post","2022","Attorney General's Departments","Corporate Finance","London","10","10","46840","39290"
"In post","2022","Attorney General's Departments","Counter Fraud","London","245","240","46670","40270"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","London","85","85","44230","40170"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Outside London","90","85","37500","33310"
"In post","2022","Attorney General's Departments","Finance","London","75","75","38740","31560"
"In post","2022","Attorney General's Departments","Finance","Outside London","140","130","28190","25480"
"In post","2022","Attorney General's Departments","Human Resources","London","130","125","39530","32530"
"In post","2022","Attorney General's Departments","Human Resources","Outside London","120","115","34480","30370"
"In post","2022","Attorney General's Departments","Intelligence Analysis","London","10","10","43120","41040"
"In post","2022","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","London","35","35","44350","38740"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Outside London","15","15","33480","28430"
"In post","2022","Attorney General's Departments","Legal","London","2780","2585","60010","61000"
"In post","2022","Attorney General's Departments","Legal","Outside London","2660","2460","53490","54200"
"In post","2022","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Operational Delivery","London","750","700","28350","26970"
"In post","2022","Attorney General's Departments","Operational Delivery","Outside London","2145","1980","26610","25480"
"In post","2022","Attorney General's Departments","Other","London","455","440","34230","27580"
"In post","2022","Attorney General's Departments","Other","Outside London","35","35","31990","28430"
"In post","2022","Attorney General's Departments","Policy","London","90","85","52360","54760"
"In post","2022","Attorney General's Departments","Policy","Outside London","25","25","45710","50850"
"In post","2022","Attorney General's Departments","Project Delivery","London","40","35","40080","34470"
"In post","2022","Attorney General's Departments","Project Delivery","Outside London","60","60","39380","38180"
"In post","2022","Attorney General's Departments","Property","London","10","10","30740","25830"
"In post","2022","Attorney General's Departments","Property","Outside London","25","25","35620","32450"
"In post","2022","Attorney General's Departments","Security","London","10","10","34610","32080"
"In post","2022","Attorney General's Departments","Security","Outside London","20","20","33240","31270"
"In post","2022","Cabinet Office","Commercial","London","15","15","38580","39320"
"In post","2022","Cabinet Office","Commercial","Outside London","340","330","35720","32930"
"In post","2022","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Outside London","20","20","40400","35490"
"In post","2022","Cabinet Office","Digital, Data and Technology","London","35","35","56970","56160"
"In post","2022","Cabinet Office","Digital, Data and Technology","Outside London","120","115","43320","39360"
"In post","2022","Cabinet Office","Finance","London","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Finance","Outside London","85","80","48730","43500"
"In post","2022","Cabinet Office","Human Resources","London","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","Outside London","45","45","41390","37300"
"In post","2022","Cabinet Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","London","30","30","55290","56250"
"In post","2022","Cabinet Office","Operational Delivery","Outside London","180","180","39120","37300"
"In post","2022","Cabinet Office","Other","London","20","20","45170","37300"
"In post","2022","Cabinet Office","Other","Outside London","15","15","45480","32000"
"In post","2022","Cabinet Office","Policy","London","25","25","55880","54700"
"In post","2022","Cabinet Office","Policy","Outside London","10","10","46840","46890"
