"Status","Year","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","Heterosexual / straight","710","690","47210","42470"
"In post","2022","Commercial","London","LGBO","60","60","44370","41200"
"In post","2022","Commercial","London","Undeclared","160","155","47750","43260"
"In post","2022","Commercial","London","Unknown","175","170","43540","40390"
"In post","2022","Commercial","Outside London","Heterosexual / straight","3705","3565","38870","36500"
"In post","2022","Commercial","Outside London","LGBO","200","195","35530","33000"
"In post","2022","Commercial","Outside London","Undeclared","480","455","39030","36820"
"In post","2022","Commercial","Outside London","Unknown","665","635","35980","33370"
"In post","2022","Commercial","Overseas","Heterosexual / straight","35","35","49380","42130"
"In post","2022","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Heterosexual / straight","1350","1315","47540","43800"
"In post","2022","Communications","London","LGBO","155","150","44800","42710"
"In post","2022","Communications","London","Undeclared","270","265","45640","40750"
"In post","2022","Communications","London","Unknown","435","430","45520","42200"
"In post","2022","Communications","Outside London","Heterosexual / straight","1390","1325","37630","35900"
"In post","2022","Communications","Outside London","LGBO","95","90","34890","32090"
"In post","2022","Communications","Outside London","Undeclared","180","170","37870","35980"
"In post","2022","Communications","Outside London","Unknown","275","265","37680","34880"
"In post","2022","Communications","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Heterosexual / straight","40","40","59280","59840"
"In post","2022","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Unknown","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Heterosexual / straight","30","30","47170","42370"
"In post","2022","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Unknown","55","50","41620","38260"
"In post","2022","Counter Fraud","London","Heterosexual / straight","780","730","34430","31060"
"In post","2022","Counter Fraud","London","LGBO","40","40","33330","31060"
"In post","2022","Counter Fraud","London","Undeclared","110","100","33780","31060"
"In post","2022","Counter Fraud","London","Unknown","325","290","33630","31170"
"In post","2022","Counter Fraud","Outside London","Heterosexual / straight","3585","3240","28110","27570"
"In post","2022","Counter Fraud","Outside London","LGBO","185","175","28050","27570"
"In post","2022","Counter Fraud","Outside London","Undeclared","490","430","27440","27570"
"In post","2022","Counter Fraud","Outside London","Unknown","1065","925","28230","27570"
"In post","2022","Counter Fraud","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Heterosexual / straight","2570","2525","49630","45020"
"In post","2022","Digital, Data and Technology","London","LGBO","215","210","50220","48060"
"In post","2022","Digital, Data and Technology","London","Undeclared","370","360","50100","47000"
"In post","2022","Digital, Data and Technology","London","Unknown","905","895","48110","43810"
"In post","2022","Digital, Data and Technology","Outside London","Heterosexual / straight","10600","10285","40530","37340"
"In post","2022","Digital, Data and Technology","Outside London","LGBO","630","620","37500","33940"
"In post","2022","Digital, Data and Technology","Outside London","Undeclared","1610","1565","39990","37310"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","3055","2975","40180","36840"
"In post","2022","Digital, Data and Technology","Overseas","Heterosexual / straight","35","35","32610","33230"
"In post","2022","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","Heterosexual / straight","1120","1095","50040","51970"
"In post","2022","Economics","London","LGBO","110","110","46560","41970"
"In post","2022","Economics","London","Undeclared","150","145","49050","52500"
"In post","2022","Economics","London","Unknown","265","260","46280","37970"
"In post","2022","Economics","Outside London","Heterosexual / straight","280","270","41390","38010"
"In post","2022","Economics","Outside London","LGBO","30","30","[c]","[c]"
"In post","2022","Economics","Outside London","Undeclared","30","30","41460","38000"
"In post","2022","Economics","Outside London","Unknown","70","70","38390","33370"
"In post","2022","Economics","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","Heterosexual / straight","2045","2000","49150","44500"
"In post","2022","Finance","London","LGBO","115","115","49730","45150"
"In post","2022","Finance","London","Undeclared","355","350","47820","44520"
"In post","2022","Finance","London","Unknown","390","380","48710","43430"
"In post","2022","Finance","Outside London","Heterosexual / straight","6980","6675","38120","33630"
"In post","2022","Finance","Outside London","LGBO","275","270","38130","33350"
"In post","2022","Finance","Outside London","Undeclared","925","885","37710","33350"
"In post","2022","Finance","Outside London","Unknown","1120","1060","35900","33190"
"In post","2022","Finance","Overseas","Heterosexual / straight","55","55","38060","33300"
"In post","2022","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2022","Finance","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","Heterosexual / straight","310","295","31860","33290"
"In post","2022","Geography","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Geography","Outside London","Undeclared","40","35","31420","29290"
"In post","2022","Geography","Outside London","Unknown","120","115","30400","29200"
"In post","2022","Geography","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Heterosexual / straight","2050","1980","47090","42150"
"In post","2022","Human Resources","London","LGBO","195","190","47190","43750"
"In post","2022","Human Resources","London","Undeclared","255","250","42610","39450"
"In post","2022","Human Resources","London","Unknown","250","245","44200","40250"
"In post","2022","Human Resources","Outside London","Heterosexual / straight","5245","4940","36370","33170"
"In post","2022","Human Resources","Outside London","LGBO","305","295","35600","31740"
"In post","2022","Human Resources","Outside London","Undeclared","480","450","33270","30830"
"In post","2022","Human Resources","Outside London","Unknown","775","730","34490","30750"
"In post","2022","Human Resources","Overseas","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
