"Status","Year","Age","Disability","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","AA/AO","25","20","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","EO","15","15","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","AA/AO","60","55","21680","21260"
"In post","2022","16-19","Declared non-disabled","Asian","EO","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","AA/AO","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","AA/AO","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","AA/AO","380","365","21390","21260"
"In post","2022","16-19","Declared non-disabled","White","EO","120","120","23740","24590"
"In post","2022","16-19","Declared non-disabled","White","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","White","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","White","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","AA/AO","325","310","21580","21250"
"In post","2022","16-19","Unknown","Unknown","EO","100","100","22630","24830"
"In post","2022","16-19","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","45","45","17940","16720"
"In post","2022","16-19","Unknown","White","AA/AO","35","35","21180","21250"
"In post","2022","16-19","Unknown","White","EO","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","White","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Asian","AA/AO","90","85","22080","21260"
"In post","2022","20-29","Declared disabled","Asian","EO","165","160","27980","27570"
"In post","2022","20-29","Declared disabled","Asian","G6/G7","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Asian","SEO/HEO","110","110","35480","34550"
"In post","2022","20-29","Declared disabled","Asian","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Black","AA/AO","45","45","24410","23720"
"In post","2022","20-29","Declared disabled","Black","EO","95","95","29230","29290"
"In post","2022","20-29","Declared disabled","Black","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Black","SEO/HEO","50","50","35860","34020"
"In post","2022","20-29","Declared disabled","Black","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Mixed","AA/AO","70","65","22790","21260"
"In post","2022","20-29","Declared disabled","Mixed","EO","85","85","27630","27570"
"In post","2022","20-29","Declared disabled","Mixed","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Mixed","SEO/HEO","80","80","35550","34290"
"In post","2022","20-29","Declared disabled","Mixed","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other ethnicity","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other ethnicity","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other ethnicity","SEO/HEO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Undeclared","AA/AO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Undeclared","EO","40","40","27950","27570"
"In post","2022","20-29","Declared disabled","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Undeclared","SEO/HEO","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","AA/AO","45","45","23670","22200"
"In post","2022","20-29","Declared disabled","Unknown","EO","45","45","28210","27570"
"In post","2022","20-29","Declared disabled","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","SEO/HEO","30","30","34110","33320"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","White","AA/AO","1410","1370","22450","21260"
"In post","2022","20-29","Declared disabled","White","EO","1285","1265","27170","27570"
"In post","2022","20-29","Declared disabled","White","G6/G7","275","275","54230","53380"
"In post","2022","20-29","Declared disabled","White","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","White","SEO/HEO","1335","1325","34580","33570"
"In post","2022","20-29","Declared disabled","White","Unknown","325","320","25980","24090"
"In post","2022","20-29","Declared non-disabled","Asian","AA/AO","1565","1495","22170","21260"
"In post","2022","20-29","Declared non-disabled","Asian","EO","2050","2025","28030","27570"
"In post","2022","20-29","Declared non-disabled","Asian","G6/G7","260","260","55390","54270"
"In post","2022","20-29","Declared non-disabled","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Asian","SEO/HEO","1535","1525","35350","34260"
"In post","2022","20-29","Declared non-disabled","Asian","Unknown","135","130","25780","24090"
"In post","2022","20-29","Declared non-disabled","Black","AA/AO","425","415","24240","23720"
"In post","2022","20-29","Declared non-disabled","Black","EO","750","745","28750","28670"
"In post","2022","20-29","Declared non-disabled","Black","G6/G7","75","75","54700","54160"
"In post","2022","20-29","Declared non-disabled","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Black","SEO/HEO","470","470","35430","34670"
"In post","2022","20-29","Declared non-disabled","Black","Unknown","130","125","26840","27060"
"In post","2022","20-29","Declared non-disabled","Mixed","AA/AO","505","490","23680","21980"
"In post","2022","20-29","Declared non-disabled","Mixed","EO","495","485","27800","27570"
"In post","2022","20-29","Declared non-disabled","Mixed","G6/G7","150","150","54890","53820"
"In post","2022","20-29","Declared non-disabled","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Mixed","SEO/HEO","595","590","35180","34260"
"In post","2022","20-29","Declared non-disabled","Mixed","Unknown","95","90","25430","24090"
"In post","2022","20-29","Declared non-disabled","Other ethnicity","AA/AO","95","90","24040","23140"
"In post","2022","20-29","Declared non-disabled","Other ethnicity","EO","125","125","28220","27570"
"In post","2022","20-29","Declared non-disabled","Other ethnicity","G6/G7","25","25","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Other ethnicity","SEO/HEO","120","120","36430","35700"
"In post","2022","20-29","Declared non-disabled","Other ethnicity","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Undeclared","AA/AO","155","150","22950","21680"
"In post","2022","20-29","Declared non-disabled","Undeclared","EO","175","170","27560","27570"
"In post","2022","20-29","Declared non-disabled","Undeclared","G6/G7","40","40","56200","54970"
"In post","2022","20-29","Declared non-disabled","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Undeclared","SEO/HEO","220","220","35330","34500"
