"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Female","40","40","33580","27330"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Male","20","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Female","30","25","44500","44040"
"In post","2022","Asian","Attorney General's Departments","East of England","Male","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Female","470","430","44780","50500"
"In post","2022","Asian","Attorney General's Departments","London","Male","205","200","43930","40800"
"In post","2022","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Female","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Female","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Female","30","25","[c]","[c]"
