"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Counter Fraud","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Finance","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Legal","565","525","54330","53050"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","290","265","26160","24590"
"In post","2022","Asian","Attorney General's Departments","Other","80","75","30830","27260"
"In post","2022","Asian","Attorney General's Departments","Policy","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Project Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
