"Status","Year","Ethnicity","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","London","Female","Heterosexual / straight","7290","6815","37980","33570"
"In post","2022","Asian","London","Female","LGBO","165","150","36590","32250"
"In post","2022","Asian","London","Female","Undeclared","600","540","34900","31060"
"In post","2022","Asian","London","Female","Unknown","770","665","36680","31070"
"In post","2022","Asian","London","Male","Heterosexual / straight","5065","4975","38920","34260"
"In post","2022","Asian","London","Male","LGBO","185","180","42520","38250"
"In post","2022","Asian","London","Male","Undeclared","310","300","38010","33950"
"In post","2022","Asian","London","Male","Unknown","420","410","40800","35650"
"In post","2022","Asian","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","Female","Heterosexual / straight","7885","7145","29140","27570"
"In post","2022","Asian","Outside London","Female","LGBO","165","150","27830","26400"
"In post","2022","Asian","Outside London","Female","Undeclared","555","480","27820","25250"
"In post","2022","Asian","Outside London","Female","Unknown","1095","905","28260","26820"
"In post","2022","Asian","Outside London","Male","Heterosexual / straight","7435","7225","30660","27570"
"In post","2022","Asian","Outside London","Male","LGBO","195","190","29920","27540"
"In post","2022","Asian","Outside London","Male","Undeclared","370","355","28910","26820"
"In post","2022","Asian","Outside London","Male","Unknown","815","775","30480","27570"
"In post","2022","Asian","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Female","Heterosexual / straight","65","65","42930","34770"
"In post","2022","Asian","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Male","Heterosexual / straight","80","80","45310","39640"
"In post","2022","Asian","Overseas","Male","LGBO","5","5","[c]","[c]"
