"Status","Year","Disability","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","Heterosexual / straight","75","75","36240","34980"
"In post","2022","Declared disabled","Analysis","East Wales","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","Heterosexual / straight","50","45","43590","38960"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","Heterosexual / straight","50","45","45550","42010"
"In post","2022","Declared disabled","Analysis","Inner London - East","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - West","Heterosexual / straight","145","140","47630","42340"
"In post","2022","Declared disabled","Analysis","Inner London - West","LGBO","35","35","45170","42340"
"In post","2022","Declared disabled","Analysis","Inner London - West","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - West","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northumberland, and Tyne and Wear","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northumberland, and Tyne and Wear","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northumberland, and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - East and North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - East and North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - East and North East","Undeclared","[c]","[c]","[c]","[c]"
