"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","15","10","28070","28230"
"In post","2022","Analysis","Chancellor's other departments","G6/G7","130","120","83540","78140"
"In post","2022","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO/HEO","65","60","40960","39720"
"In post","2022","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6/G7","85","80","64210","60210"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","15","15","107070","97750"
"In post","2022","Analysis","Competition and Markets Authority","SEO/HEO","35","35","37830","34870"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","55","55","27550","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","95","90","60620","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","220","220","37470","36060"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","75","75","57700","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","37770","38020"
"In post","2022","Analysis","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","15","15","26930","25000"
"In post","2022","Analysis","Department for Education","G6/G7","75","70","54760","53420"
"In post","2022","Analysis","Department for Education","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO/HEO","105","100","38680","40050"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","30","30","21220","21510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","125","120","25280","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","85","85","52180","49040"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","270","260","33060","30440"
"In post","2022","Analysis","Department for International Trade","EO","30","30","27030","26250"
"In post","2022","Analysis","Department for International Trade","G6/G7","110","110","55890","51970"
"In post","2022","Analysis","Department for International Trade","SCS level","10","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO/HEO","105","105","33560","31800"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","30","30","28250","27850"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","110","110","57170","53650"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","80","80","35210","34000"
"In post","2022","Analysis","Department for Transport","AA/AO","25","20","22200","21840"
"In post","2022","Analysis","Department for Transport","EO","45","40","28580","29970"
"In post","2022","Analysis","Department for Transport","G6/G7","160","155","57500","54760"
"In post","2022","Analysis","Department for Transport","SCS level","15","15","77140","77340"
"In post","2022","Analysis","Department for Transport","SEO/HEO","160","160","37400","35060"
"In post","2022","Analysis","Department for Work and Pensions","AA/AO","50","50","22430","21260"
"In post","2022","Analysis","Department for Work and Pensions","EO","45","40","28500","27660"
"In post","2022","Analysis","Department for Work and Pensions","G6/G7","220","200","59730","57230"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","10","10","78760","78190"
"In post","2022","Analysis","Department for Work and Pensions","SEO/HEO","355","340","36350","36340"
