"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","HEO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G6","Female","40","35","84620","78140"
"In post","2022","Analysis","Chancellor's other departments","G6","Male","55","55","97870","89720"
"In post","2022","Analysis","Chancellor's other departments","G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G7","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","HEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","HEO","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G7","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G7","Male","30","30","57000","56360"
"In post","2022","Analysis","Competition and Markets Authority","HEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Female","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","Male","45","45","57460","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Female","60","60","34770","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Male","105","100","35560","34090"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Male","40","40","44500","45250"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","Male","45","45","55950","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","Male","35","35","37650","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","G7","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Education","G7","Male","30","30","51900","50630"
"In post","2022","Analysis","Department for Education","HEO","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Education","HEO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO","Female","45","40","42690","42220"
"In post","2022","Analysis","Department for Education","SEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","Male","15","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Female","65","60","25220","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Male","60","60","25350","25100"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","Male","45","45","49070","48080"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","Female","70","65","29800","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","Male","80","80","29840","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","Female","55","50","36850","36580"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","Male","65","65","37320","36580"
"In post","2022","Analysis","Department for International Trade","EO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","EO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G6","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G6","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G7","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G7","Male","60","60","53300","51970"
"In post","2022","Analysis","Department for International Trade","HEO","Female","35","35","31780","31800"
"In post","2022","Analysis","Department for International Trade","HEO","Male","50","50","32290","31800"
"In post","2022","Analysis","Department for International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","Female","30","30","54140","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","Male","55","55","54700","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","HEO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","HEO","Male","35","35","32240","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Male","25","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G7","Female","50","50","54840","54650"
"In post","2022","Analysis","Department for Transport","G7","Male","75","70","55150","54650"
"In post","2022","Analysis","Department for Transport","HEO","Female","35","35","33840","34710"
"In post","2022","Analysis","Department for Transport","HEO","Male","55","55","33530","34710"
"In post","2022","Analysis","Department for Transport","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SEO","Female","35","35","42120","42470"
"In post","2022","Analysis","Department for Transport","SEO","Male","35","35","42340","42470"
"In post","2022","Analysis","Department for Work and Pensions","AO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","AO","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G6","Female","30","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G6","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G7","Female","85","75","56200","55070"
"In post","2022","Analysis","Department for Work and Pensions","G7","Male","80","80","56890","57230"
"In post","2022","Analysis","Department for Work and Pensions","HEO","Female","105","100","35060","35000"
"In post","2022","Analysis","Department for Work and Pensions","HEO","Male","115","115","34430","34700"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SEO","Female","70","60","39000","37710"
"In post","2022","Analysis","Department for Work and Pensions","SEO","Male","65","65","38920","37990"
"In post","2022","Analysis","Department of Health and Social Care","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","G6","Female","50","45","66900","66230"
"In post","2022","Analysis","Department of Health and Social Care","G6","Male","30","30","66910","66230"
"In post","2022","Analysis","Department of Health and Social Care","G7","Female","110","100","53820","53360"
"In post","2022","Analysis","Department of Health and Social Care","G7","Male","90","85","53480","53360"
"In post","2022","Analysis","Department of Health and Social Care","HEO","Female","30","30","32350","32790"
"In post","2022","Analysis","Department of Health and Social Care","HEO","Male","35","35","31940","32790"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SEO","Female","40","40","40140","40650"
"In post","2022","Analysis","Department of Health and Social Care","SEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G7","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","HEO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","SEO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","SEO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","G6","Female","[c]","[c]","[c]","[c]"
