"Status","Year","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA/AO","260","250","21790","21300"
"In post","2022","Analysis","EO","870","835","26830","26440"
"In post","2022","Analysis","G6/G7","2815","2685","58970","56450"
"In post","2022","Analysis","SCS level","190","180","89270","81110"
"In post","2022","Analysis","SEO/HEO","4320","4190","36270","36590"
"In post","2022","Commercial","AA/AO","290","270","22580","21840"
"In post","2022","Commercial","EO","760","730","26660","26460"
"In post","2022","Commercial","G6/G7","2245","2205","61540","60490"
"In post","2022","Commercial","SCS level","335","325","110740","104630"
"In post","2022","Commercial","SEO/HEO","2820","2735","37320","37400"
"In post","2022","Commercial","Unknown","165","165","40030","37400"
"In post","2022","Communications","AA/AO","495","445","21820","21250"
"In post","2022","Communications","EO","3240","3135","26940","26820"
"In post","2022","Communications","G6/G7","1205","1165","58640","56370"
"In post","2022","Communications","SCS level","135","135","92210","85000"
"In post","2022","Communications","SEO/HEO","3460","3370","36560","34260"
"In post","2022","Communications","Unknown","15","15","36710","31420"
"In post","2022","Counter Fraud","AA/AO","2760","2390","22330","21260"
"In post","2022","Counter Fraud","EO","7195","6605","28150","27570"
"In post","2022","Counter Fraud","G6/G7","1315","1260","59540","55410"
"In post","2022","Counter Fraud","SCS level","50","45","84100","79930"
"In post","2022","Counter Fraud","SEO/HEO","5705","5445","36330","34290"
"In post","2022","Debt","AA/AO","5185","4560","21640","21260"
"In post","2022","Debt","EO","1215","1100","27810","27570"
"In post","2022","Debt","G6/G7","50","50","61510","55210"
"In post","2022","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","365","335","35270","33370"
"In post","2022","Digital, Data & Technology","AA/AO","945","915","21880","21380"
"In post","2022","Digital, Data & Technology","EO","3795","3630","27620","27130"
"In post","2022","Digital, Data & Technology","G6/G7","6000","5880","57750","55210"
"In post","2022","Digital, Data & Technology","SCS level","330","330","92360","85820"
"In post","2022","Digital, Data & Technology","SEO/HEO","10910","10605","37420","36840"
"In post","2022","Digital, Data & Technology","Unknown","75","70","34230","32300"
"In post","2022","Finance","AA/AO","1720","1460","21770","21260"
"In post","2022","Finance","EO","2100","1990","26870","26820"
"In post","2022","Finance","G6/G7","2770","2700","58350","56730"
"In post","2022","Finance","SCS level","305","300","87380","80160"
"In post","2022","Finance","SEO/HEO","5430","5230","37230","36540"
"In post","2022","Finance","Unknown","55","55","50720","44130"
"In post","2022","Grants Management","AA/AO","1285","1170","21280","21300"
"In post","2022","Grants Management","EO","605","555","25440","25190"
"In post","2022","Grants Management","G6/G7","70","65","51780","49370"
"In post","2022","Grants Management","SCS level","10","5","[c]","[c]"
"In post","2022","Grants Management","SEO/HEO","360","335","32590","31070"
"In post","2022","Human Resources","AA/AO","1635","1480","21720","21260"
"In post","2022","Human Resources","EO","2585","2425","27290","27270"
"In post","2022","Human Resources","G6/G7","2345","2270","57690","55560"
"In post","2022","Human Resources","SCS level","265","255","86780","79320"
"In post","2022","Human Resources","SEO/HEO","4855","4635","36270","35430"
"In post","2022","Human Resources","Unknown","40","35","44130","45900"
"In post","2022","Internal Audit","AA/AO","30","25","28260","25580"
"In post","2022","Internal Audit","EO","45","45","27830","26740"
"In post","2022","Internal Audit","G6/G7","210","200","58640","56850"
