"Status","Year","Disability","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","London","280","270","46700","41750"
"In post","2022","Declared disabled","Analysis","Outside London","430","405","38170","36320"
"In post","2022","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","90","90","42810","40650"
"In post","2022","Declared disabled","Commercial","Outside London","360","345","38500","36820"
"In post","2022","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","London","150","145","43070","40070"
"In post","2022","Declared disabled","Communications","Outside London","460","435","32120","29480"
"In post","2022","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","London","335","310","35870","31880"
"In post","2022","Declared disabled","Counter Fraud","Outside London","1640","1475","30060","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","London","55","50","28230","26400"
"In post","2022","Declared disabled","Debt","Outside London","750","635","23010","21260"
"In post","2022","Declared disabled","Debt","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","London","380","370","46230","41750"
"In post","2022","Declared disabled","Digital, Data & Technology","Outside London","1615","1540","37490","33780"
"In post","2022","Declared disabled","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","London","250","245","47320","42680"
"In post","2022","Declared disabled","Finance","Outside London","885","810","34820","31990"
"In post","2022","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","Outside London","180","165","25390","21300"
"In post","2022","Declared disabled","Human Resources","London","425","410","46410","40910"
"In post","2022","Declared disabled","Human Resources","Outside London","1165","1095","35140","32000"
"In post","2022","Declared disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Outside London","65","65","42240","39980"
"In post","2022","Declared disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","London","450","420","50640","51990"
"In post","2022","Declared disabled","Legal","Outside London","770","700","40590","35090"
"In post","2022","Declared disabled","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","London","5275","5035","39190","33700"
"In post","2022","Declared disabled","No function","Outside London","27470","24590","28120","27570"
"In post","2022","Declared disabled","No function","Overseas","130","130","49070","51930"
"In post","2022","Declared disabled","No function","Unknown","85","75","29760","27570"
"In post","2022","Declared disabled","Project Delivery","London","425","405","48500","43810"
"In post","2022","Declared disabled","Project Delivery","Outside London","2135","2025","37590","35230"
"In post","2022","Declared disabled","Project Delivery","Overseas","55","55","55240","55060"
"In post","2022","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","London","145","140","44780","39530"
"In post","2022","Declared disabled","Property","Outside London","620","590","34750","32890"
"In post","2022","Declared disabled","Property","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","London","190","185","41610","38580"
"In post","2022","Declared disabled","Security","Outside London","655","630","30670","28610"
"In post","2022","Declared disabled","Security","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","1455","1370","39930","35070"
"In post","2022","Declared disabled","Unknown","Outside London","5090","4790","31830","27230"
"In post","2022","Declared disabled","Unknown","Overseas","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","London","2505","2435","50650","47500"
"In post","2022","Declared non-disabled","Analysis","Outside London","3165","3025","39320","37280"
"In post","2022","Declared non-disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","London","805","790","56810","50000"
"In post","2022","Declared non-disabled","Commercial","Outside London","2640","2545","39550","36970"
"In post","2022","Declared non-disabled","Commercial","Overseas","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","35","35","45980","49700"
"In post","2022","Declared non-disabled","Communications","London","1395","1360","48530","43880"
"In post","2022","Declared non-disabled","Communications","Outside London","3610","3465","32160","28920"
"In post","2022","Declared non-disabled","Communications","Overseas","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","London","2395","2255","37520","33440"
