"Status","Year","Ethnicity","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Accountant in Bankruptcy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","30","30","34530","30950"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Advisory, Conciliation and Arbitration Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Female","Heterosexual / straight","40","40","29660","28290"
"In post","2022","Asian","Animal and Plant Health Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Male","Heterosexual / straight","30","30","27550","27960"
"In post","2022","Asian","Animal and Plant Health Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","270","260","43790","40600"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","185","180","47980","43500"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Asian","Companies House","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","Heterosexual / straight","50","50","43640","36370"
"In post","2022","Asian","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
