"Status","Year","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","75","75","46190","37970"
"In post","2022","Declared disabled","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","85","80","36890","34260"
"In post","2022","Declared disabled","Analysis","Operational Research","60","55","43310","41550"
"In post","2022","Declared disabled","Analysis","Other","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","50","45","45450","42580"
"In post","2022","Declared disabled","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","35","35","33840","29270"
"In post","2022","Declared disabled","Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","110","100","40360","38340"
"In post","2022","Declared disabled","Analysis","Statistics","220","210","42110","38340"
"In post","2022","Declared disabled","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","355","340","38360","37400"
"In post","2022","Declared disabled","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","30","30","32580","30460"
"In post","2022","Declared disabled","Commercial","Other","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","35","35","54840","54700"
