"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA/AO","805","695","22700","21410"
"In post","2022","Declared disabled","Asian","EO","1105","1015","28600","27570"
"In post","2022","Declared disabled","Asian","G6/G7","285","280","58820","57440"
"In post","2022","Declared disabled","Asian","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO/HEO","785","755","37470","36650"
"In post","2022","Declared disabled","Asian","Unknown","130","120","29910","28200"
"In post","2022","Declared disabled","Black","AA/AO","465","420","24080","23720"
"In post","2022","Declared disabled","Black","EO","730","685","29530","29870"
"In post","2022","Declared disabled","Black","G6/G7","160","155","58210","56470"
"In post","2022","Declared disabled","Black","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO/HEO","440","430","37840","37170"
"In post","2022","Declared disabled","Black","Unknown","260","250","32840","31420"
"In post","2022","Declared disabled","Mixed","AA/AO","320","290","22830","21260"
"In post","2022","Declared disabled","Mixed","EO","400","370","28430","27570"
"In post","2022","Declared disabled","Mixed","G6/G7","165","160","58010","56160"
"In post","2022","Declared disabled","Mixed","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SEO/HEO","355","340","37070","35700"
"In post","2022","Declared disabled","Mixed","Unknown","140","135","32220","30210"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","70","65","23260","21340"
"In post","2022","Declared disabled","Other ethnicity","EO","115","110","28750","27570"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","55","50","59500","55410"
"In post","2022","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","115","110","36610","36270"
"In post","2022","Declared disabled","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","AA/AO","585","515","22660","21260"
"In post","2022","Declared disabled","Undeclared","EO","685","625","28400","27570"
"In post","2022","Declared disabled","Undeclared","G6/G7","190","185","58750","56600"
"In post","2022","Declared disabled","Undeclared","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","SEO/HEO","505","480","37260","36300"
"In post","2022","Declared disabled","Undeclared","Unknown","125","115","33760","33700"
"In post","2022","Declared disabled","Unknown","AA/AO","415","360","22790","21840"
"In post","2022","Declared disabled","Unknown","EO","355","325","29530","27760"
"In post","2022","Declared disabled","Unknown","G6/G7","135","130","58860","55640"
"In post","2022","Declared disabled","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","315","295","37600","36340"
"In post","2022","Declared disabled","Unknown","Unknown","60","55","34540","34340"
"In post","2022","Declared disabled","White","AA/AO","13070","11465","22320","21260"
"In post","2022","Declared disabled","White","EO","12880","11650","27750","27570"
"In post","2022","Declared disabled","White","G6/G7","4390","4220","58580","56120"
"In post","2022","Declared disabled","White","SCS level","420","410","88880","80000"
"In post","2022","Declared disabled","White","SEO/HEO","10710","10200","36830","35900"
"In post","2022","Declared disabled","White","Unknown","2785","2590","30930","28200"
"In post","2022","Declared non-disabled","Asian","AA/AO","6805","6030","22610","21260"
"In post","2022","Declared non-disabled","Asian","EO","8565","8030","28310","27570"
"In post","2022","Declared non-disabled","Asian","G6/G7","2910","2830","58970","57430"
"In post","2022","Declared non-disabled","Asian","SCS level","245","240","88760","81970"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","7170","6985","37310","36500"
"In post","2022","Declared non-disabled","Asian","Unknown","615","575","29840","27980"
"In post","2022","Declared non-disabled","Black","AA/AO","3200","2990","24460","23770"
"In post","2022","Declared non-disabled","Black","EO","4425","4250","29210","29290"
"In post","2022","Declared non-disabled","Black","G6/G7","1100","1085","58070","56130"
"In post","2022","Declared non-disabled","Black","SCS level","70","70","87890","80470"
"In post","2022","Declared non-disabled","Black","SEO/HEO","3480","3425","37690","36960"
"In post","2022","Declared non-disabled","Black","Unknown","860","830","31100","28200"
"In post","2022","Declared non-disabled","Mixed","AA/AO","1475","1370","23640","21810"
"In post","2022","Declared non-disabled","Mixed","EO","1635","1555","28120","27570"
"In post","2022","Declared non-disabled","Mixed","G6/G7","1085","1055","58540","56780"
"In post","2022","Declared non-disabled","Mixed","SCS level","110","105","86330","79850"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","1925","1880","37170","36520"
"In post","2022","Declared non-disabled","Mixed","Unknown","380","360","30450","28200"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","425","395","23990","22520"
"In post","2022","Declared non-disabled","Other ethnicity","EO","515","485","28570","27980"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","305","290","59360","57740"
"In post","2022","Declared non-disabled","Other ethnicity","SCS level","35","35","84800","83880"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","545","530","38230","37450"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","75","70","30750","28730"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","2260","1985","22600","21260"
"In post","2022","Declared non-disabled","Undeclared","EO","2720","2470","28320","27570"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","1240","1200","58620","57480"
"In post","2022","Declared non-disabled","Undeclared","SCS level","55","55","89000","80180"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","2540","2425","37910","37410"
"In post","2022","Declared non-disabled","Undeclared","Unknown","235","215","33930","34340"
"In post","2022","Declared non-disabled","Unknown","AA/AO","3150","2800","22320","21300"
"In post","2022","Declared non-disabled","Unknown","EO","2335","2160","27870","27570"
"In post","2022","Declared non-disabled","Unknown","G6/G7","1080","1035","58520","57110"
"In post","2022","Declared non-disabled","Unknown","SCS level","105","100","96570","88930"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","2145","2050","36890","36060"
"In post","2022","Declared non-disabled","Unknown","Unknown","350","315","32900","34340"
"In post","2022","Declared non-disabled","White","AA/AO","69580","62685","22790","21270"
"In post","2022","Declared non-disabled","White","EO","67045","61835","27620","27570"
"In post","2022","Declared non-disabled","White","G6/G7","39985","38485","59130","57400"
"In post","2022","Declared non-disabled","White","SCS level","4460","4315","89530","82140"
"In post","2022","Declared non-disabled","White","SEO/HEO","76630","73505","37190","36330"
"In post","2022","Declared non-disabled","White","Unknown","10820","10130","31800","29760"
"In post","2022","Undeclared","Asian","AA/AO","380","330","23060","21380"
"In post","2022","Undeclared","Asian","EO","415","390","28630","27570"
"In post","2022","Undeclared","Asian","G6/G7","160","160","58870","57440"
"In post","2022","Undeclared","Asian","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Asian","SEO/HEO","360","350","36960","35750"
"In post","2022","Undeclared","Asian","Unknown","40","40","31400","28200"
"In post","2022","Undeclared","Black","AA/AO","265","240","26990","25630"
"In post","2022","Undeclared","Black","EO","220","210","30340","30330"
"In post","2022","Undeclared","Black","G6/G7","45","45","58700","54750"
"In post","2022","Undeclared","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","SEO/HEO","180","180","38210","37610"
"In post","2022","Undeclared","Black","Unknown","55","55","33350","32040"
"In post","2022","Undeclared","Mixed","AA/AO","115","110","24480","21860"
"In post","2022","Undeclared","Mixed","EO","105","100","28330","27570"
"In post","2022","Undeclared","Mixed","G6/G7","65","65","58780","57190"
"In post","2022","Undeclared","Mixed","SCS level","5","5","[c]","[c]"
"In post","2022","Undeclared","Mixed","SEO/HEO","120","120","37350","36560"
"In post","2022","Undeclared","Mixed","Unknown","20","20","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","AA/AO","35","35","26430","25110"
"In post","2022","Undeclared","Other ethnicity","EO","35","30","29020","29290"
