"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","Heterosexual / straight","255","250","38840","36500"
"In post","2022","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Communications","Heterosexual / straight","165","160","39980","37930"
"In post","2022","Asian","Communications","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Heterosexual / straight","490","455","28430","27570"
"In post","2022","Asian","Counter Fraud","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Undeclared","30","25","26660","25110"
"In post","2022","Asian","Counter Fraud","Unknown","85","75","27250","25110"
"In post","2022","Asian","Digital, Data and Technology","Heterosexual / straight","1155","1145","42940","39960"
"In post","2022","Asian","Digital, Data and Technology","LGBO","40","40","42110","39780"
"In post","2022","Asian","Digital, Data and Technology","Undeclared","85","80","42790","41030"
"In post","2022","Asian","Digital, Data and Technology","Unknown","125","125","43090","40180"
"In post","2022","Asian","Economics","Heterosexual / straight","185","185","43590","38020"
"In post","2022","Asian","Economics","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Economics","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Heterosexual / straight","870","850","40720","37100"
"In post","2022","Asian","Finance","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Undeclared","50","50","38880","36770"
"In post","2022","Asian","Finance","Unknown","65","60","39850","35500"
"In post","2022","Asian","Geography","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Heterosexual / straight","495","480","37890","35050"
"In post","2022","Asian","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Heterosexual / straight","170","160","32420","29250"
"In post","2022","Asian","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Undeclared","20","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","Heterosexual / straight","75","75","47200","43760"
"In post","2022","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Heterosexual / straight","115","115","44600","38420"
"In post","2022","Asian","International Trade","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Heterosexual / straight","105","100","34580","33300"
"In post","2022","Asian","Knowledge and Information Management","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Heterosexual / straight","865","820","48430","50500"
"In post","2022","Asian","Legal","LGBO","25","25","[c]","[c]"
"In post","2022","Asian","Legal","Undeclared","40","35","48100","46920"
"In post","2022","Asian","Legal","Unknown","115","105","50360","51470"
"In post","2022","Asian","Medicine","Heterosexual / straight","145","130","67670","67750"
"In post","2022","Asian","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","Undeclared","15","10","[c]","[c]"
"In post","2022","Asian","Medicine","Unknown","35","30","85400","83660"
"In post","2022","Asian","Operational Delivery","Heterosexual / straight","14325","13235","28400","27570"
"In post","2022","Asian","Operational Delivery","LGBO","310","280","27520","26780"
"In post","2022","Asian","Operational Delivery","Undeclared","1055","935","27340","26780"
"In post","2022","Asian","Operational Delivery","Unknown","1740","1485","27320","26820"
"In post","2022","Asian","Operational Research","Heterosexual / straight","45","45","42670","38110"
"In post","2022","Asian","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Other","Heterosexual / straight","1395","1310","30280","27570"
"In post","2022","Asian","Other","LGBO","40","35","26530","26280"
"In post","2022","Asian","Other","Undeclared","90","85","29860","27140"
"In post","2022","Asian","Other","Unknown","150","135","30650","26900"
"In post","2022","Asian","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","Heterosexual / straight","2135","2090","43580","40050"
"In post","2022","Asian","Policy","LGBO","80","80","45350","40050"
"In post","2022","Asian","Policy","Undeclared","120","115","42760","40050"
"In post","2022","Asian","Policy","Unknown","80","75","48160","42500"
"In post","2022","Asian","Project Delivery","Heterosexual / straight","825","805","41700","38660"
"In post","2022","Asian","Project Delivery","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Project Delivery","Undeclared","35","35","38880","36950"
"In post","2022","Asian","Project Delivery","Unknown","85","75","39120","37930"
"In post","2022","Asian","Property","Heterosexual / straight","270","260","38920","34810"
"In post","2022","Asian","Property","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Property","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Property","Unknown","30","30","33580","31000"
"In post","2022","Asian","Psychology","Heterosexual / straight","40","40","34270","31180"
"In post","2022","Asian","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Heterosexual / straight","450","440","36900","33950"
"In post","2022","Asian","Science and Engineering","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Science and Engineering","Undeclared","40","35","39000","39110"
"In post","2022","Asian","Science and Engineering","Unknown","100","95","43210","40640"
"In post","2022","Asian","Security","Heterosexual / straight","295","290","32180","29370"
"In post","2022","Asian","Security","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Security","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Security","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Social Research","Heterosexual / straight","50","45","42730","38340"
"In post","2022","Asian","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","Heterosexual / straight","160","155","43350","40290"
"In post","2022","Asian","Statistics","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Statistics","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Statistics","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Tax","Heterosexual / straight","1530","1475","33550","33080"
"In post","2022","Asian","Tax","LGBO","55","50","30770","31020"
"In post","2022","Asian","Tax","Undeclared","85","80","33390","33080"
"In post","2022","Asian","Tax","Unknown","305","290","34580","33370"
"In post","2022","Asian","Unknown","Heterosexual / straight","1270","1245","38950","34550"
"In post","2022","Asian","Unknown","LGBO","45","45","40110","34550"
"In post","2022","Asian","Unknown","Undeclared","55","55","40670","37300"
"In post","2022","Asian","Unknown","Unknown","80","75","35310","31150"
"In post","2022","Asian","Veterinarian","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Heterosexual / straight","160","160","38100","36500"
"In post","2022","Black","Commercial","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Communications","Heterosexual / straight","95","95","39160","35560"
"In post","2022","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Corporate Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Black","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Heterosexual / straight","240","220","29000","27570"
"In post","2022","Black","Counter Fraud","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Counter Fraud","Undeclared","25","20","[c]","[c]"
"In post","2022","Black","Counter Fraud","Unknown","50","45","30520","31060"
"In post","2022","Black","Digital, Data and Technology","Heterosexual / straight","525","520","40220","37530"
"In post","2022","Black","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","Undeclared","25","25","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","Unknown","45","40","40380","37290"
"In post","2022","Black","Economics","Heterosexual / straight","60","60","40870","35050"
"In post","2022","Black","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Heterosexual / straight","410","405","39970","36970"
"In post","2022","Black","Finance","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Finance","Undeclared","15","15","[c]","[c]"
"In post","2022","Black","Finance","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","Heterosexual / straight","305","300","37310","34710"
"In post","2022","Black","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Human Resources","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Human Resources","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Heterosexual / straight","50","45","31600","30380"
"In post","2022","Black","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","Heterosexual / straight","65","65","42720","38540"
"In post","2022","Black","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","International Trade","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Heterosexual / straight","55","55","33150","30530"
"In post","2022","Black","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","Heterosexual / straight","380","375","48300","49580"
"In post","2022","Black","Legal","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Legal","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Legal","Unknown","65","65","50600","53050"
"In post","2022","Black","Medicine","Heterosexual / straight","45","40","54830","41900"
"In post","2022","Black","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicine","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Operational Delivery","Heterosexual / straight","8080","7690","29660","28650"
"In post","2022","Black","Operational Delivery","LGBO","175","175","29020","28200"
"In post","2022","Black","Operational Delivery","Undeclared","475","435","29750","28710"
"In post","2022","Black","Operational Delivery","Unknown","870","790","29190","28820"
"In post","2022","Black","Operational Research","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Black","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Research","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Other","Heterosexual / straight","695","675","30220","29290"
"In post","2022","Black","Other","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Other","Undeclared","40","40","30280","27150"
"In post","2022","Black","Other","Unknown","60","55","30000","29750"
"In post","2022","Black","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Policy","Heterosexual / straight","1145","1130","40280","36650"
"In post","2022","Black","Policy","LGBO","45","45","41470","37460"
"In post","2022","Black","Policy","Undeclared","65","65","37820","35780"
"In post","2022","Black","Policy","Unknown","45","40","41610","39490"
"In post","2022","Black","Project Delivery","Heterosexual / straight","500","490","40460","37930"
"In post","2022","Black","Project Delivery","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Project Delivery","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Project Delivery","Unknown","25","25","[c]","[c]"
"In post","2022","Black","Property","Heterosexual / straight","135","130","38860","35740"
"In post","2022","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","Undeclared","15","10","[c]","[c]"
"In post","2022","Black","Property","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Psychology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Black","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","Heterosexual / straight","230","220","37530","36510"
"In post","2022","Black","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Science and Engineering","Unknown","35","35","43280","41330"
"In post","2022","Black","Security","Heterosexual / straight","125","125","32500","30200"
"In post","2022","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Black","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","Heterosexual / straight","50","50","40050","38360"
"In post","2022","Black","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Tax","Heterosexual / straight","495","485","32700","33080"
"In post","2022","Black","Tax","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Tax","Undeclared","20","20","[c]","[c]"
"In post","2022","Black","Tax","Unknown","60","55","34990","33400"
"In post","2022","Black","Unknown","Heterosexual / straight","575","565","39580","35590"
"In post","2022","Black","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Black","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","Heterosexual / straight","90","85","39220","36730"
"In post","2022","Mixed","Commercial","LGBO","15","15","[c]","[c]"
"In post","2022","Mixed","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","Heterosexual / straight","90","90","44490","41380"
"In post","2022","Mixed","Communications","LGBO","10","10","[c]","[c]"
"In post","2022","Mixed","Communications","Undeclared","5","5","[c]","[c]"
"In post","2022","Mixed","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Heterosexual / straight","75","70","29680","27570"
