"Status","Year","Age","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Animal and Plant Health Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
