"Status","Year","Disability","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Heterosexual / straight","2635","2435","32810","29370"
"In post","2022","Declared disabled","Asian","LGBO","110","105","34590","31060"
"In post","2022","Declared disabled","Asian","Undeclared","205","185","30360","27570"
"In post","2022","Declared disabled","Asian","Unknown","185","160","28890","27570"
"In post","2022","Declared disabled","Black","Heterosexual / straight","1740","1650","32870","31020"
"In post","2022","Declared disabled","Black","LGBO","90","85","36160","31060"
"In post","2022","Declared disabled","Black","Undeclared","140","130","32350","30690"
"In post","2022","Declared disabled","Black","Unknown","95","85","31740","30430"
"In post","2022","Declared disabled","Mixed","Heterosexual / straight","975","915","34110","30710"
"In post","2022","Declared disabled","Mixed","LGBO","215","205","34440","31060"
"In post","2022","Declared disabled","Mixed","Undeclared","145","135","32480","29370"
"In post","2022","Declared disabled","Mixed","Unknown","60","50","33860","30220"
"In post","2022","Declared disabled","Other ethnicity","Heterosexual / straight","245","235","35190","31650"
"In post","2022","Declared disabled","Other ethnicity","LGBO","65","65","38210","32790"
"In post","2022","Declared disabled","Other ethnicity","Undeclared","45","45","34110","31470"
"In post","2022","Declared disabled","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Heterosexual / straight","405","375","31760","28310"
"In post","2022","Declared disabled","Undeclared","LGBO","80","75","31520","28240"
"In post","2022","Declared disabled","Undeclared","Undeclared","1365","1255","33070","28920"
"In post","2022","Declared disabled","Undeclared","Unknown","255","225","30020","27570"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","300","270","33020","28920"
"In post","2022","Declared disabled","Unknown","LGBO","35","35","36340","30450"
"In post","2022","Declared disabled","Unknown","Undeclared","100","95","36560","32900"
"In post","2022","Declared disabled","Unknown","Unknown","855","770","32350","28760"
"In post","2022","Declared disabled","White","Heterosexual / straight","34355","31425","32290","27570"
"In post","2022","Declared disabled","White","LGBO","4285","4125","33100","28920"
"In post","2022","Declared disabled","White","Undeclared","3555","3195","31380","27570"
"In post","2022","Declared disabled","White","Unknown","2060","1790","29950","27570"
"In post","2022","Declared non-disabled","Asian","Heterosexual / straight","22495","21280","33570","29610"
"In post","2022","Declared non-disabled","Asian","LGBO","510","480","34200","29970"
"In post","2022","Declared non-disabled","Asian","Undeclared","1345","1220","31290","28310"
"In post","2022","Declared non-disabled","Asian","Unknown","1960","1705","31150","27570"
"In post","2022","Declared non-disabled","Black","Heterosexual / straight","11525","11150","33280","31060"
"In post","2022","Declared non-disabled","Black","LGBO","220","215","33570","30750"
"In post","2022","Declared non-disabled","Black","Undeclared","525","495","32330","30330"
"In post","2022","Declared non-disabled","Black","Unknown","865","790","31800","30750"
"In post","2022","Declared non-disabled","Mixed","Heterosexual / straight","5400","5175","35850","31060"
"In post","2022","Declared non-disabled","Mixed","LGBO","490","480","36150","31650"
"In post","2022","Declared non-disabled","Mixed","Undeclared","380","360","36430","31060"
"In post","2022","Declared non-disabled","Mixed","Unknown","335","310","35020","29450"
"In post","2022","Declared non-disabled","Other ethnicity","Heterosexual / straight","1490","1420","35980","31060"
"In post","2022","Declared non-disabled","Other ethnicity","LGBO","115","115","39590","33390"
"In post","2022","Declared non-disabled","Other ethnicity","Undeclared","155","145","39940","33400"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","140","120","34360","30680"
"In post","2022","Declared non-disabled","Undeclared","Heterosexual / straight","2050","1935","33600","29440"
"In post","2022","Declared non-disabled","Undeclared","LGBO","130","120","35240","31650"
"In post","2022","Declared non-disabled","Undeclared","Undeclared","4610","4325","35790","31650"
"In post","2022","Declared non-disabled","Undeclared","Unknown","2255","1970","31710","27570"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","2070","1925","34690","30450"
"In post","2022","Declared non-disabled","Unknown","LGBO","110","105","39420","31900"
"In post","2022","Declared non-disabled","Unknown","Undeclared","495","460","36610","33430"
"In post","2022","Declared non-disabled","Unknown","Unknown","6490","5970","31590","27570"
"In post","2022","Declared non-disabled","White","Heterosexual / straight","219590","206050","35200","30470"
"In post","2022","Declared non-disabled","White","LGBO","12960","12645","35410","30760"
"In post","2022","Declared non-disabled","White","Undeclared","15715","14400","34070","29080"
"In post","2022","Declared non-disabled","White","Unknown","20260","17870","33190","27570"
"In post","2022","Undeclared","Asian","Heterosexual / straight","1015","955","33350","30140"
"In post","2022","Undeclared","Asian","LGBO","40","40","31060","27570"
"In post","2022","Undeclared","Asian","Undeclared","200","185","34820","31060"
"In post","2022","Undeclared","Asian","Unknown","110","95","30050","27570"
"In post","2022","Undeclared","Black","Heterosexual / straight","510","490","33450","31060"
"In post","2022","Undeclared","Black","LGBO","20","20","[c]","[c]"
"In post","2022","Undeclared","Black","Undeclared","105","95","33590","31180"
"In post","2022","Undeclared","Black","Unknown","135","125","31280","31650"
"In post","2022","Undeclared","Mixed","Heterosexual / straight","260","250","35860","31220"
"In post","2022","Undeclared","Mixed","LGBO","50","50","35050","31820"
"In post","2022","Undeclared","Mixed","Undeclared","90","85","33980","31060"
"In post","2022","Undeclared","Mixed","Unknown","30","30","32440","28310"
"In post","2022","Undeclared","Other ethnicity","Heterosexual / straight","60","55","33340","29970"
"In post","2022","Undeclared","Other ethnicity","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Undeclared","40","40","41410","32960"
"In post","2022","Undeclared","Other ethnicity","Unknown","15","10","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Heterosexual / straight","385","370","33850","29940"
"In post","2022","Undeclared","Undeclared","LGBO","75","70","34710","30940"
"In post","2022","Undeclared","Undeclared","Undeclared","6240","5920","36840","33350"
"In post","2022","Undeclared","Undeclared","Unknown","365","335","35090","31040"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","150","140","33280","30400"
"In post","2022","Undeclared","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","Undeclared","475","440","34080","30450"
"In post","2022","Undeclared","Unknown","Unknown","470","430","32240","31650"
"In post","2022","Undeclared","White","Heterosexual / straight","10190","9520","32910","29290"
"In post","2022","Undeclared","White","LGBO","915","895","33370","29950"
"In post","2022","Undeclared","White","Undeclared","3380","3145","33910","31530"
"In post","2022","Undeclared","White","Unknown","2125","1875","30820","31650"
"In post","2022","Unknown","Asian","Heterosexual / straight","1800","1745","36830","32970"
"In post","2022","Unknown","Asian","LGBO","60","60","37290","33080"
"In post","2022","Unknown","Asian","Undeclared","115","110","40100","36500"
"In post","2022","Unknown","Asian","Unknown","865","815","37180","33080"
"In post","2022","Unknown","Black","Heterosexual / straight","750","730","37130","33400"
"In post","2022","Unknown","Black","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Black","Undeclared","45","45","36130","33440"
"In post","2022","Unknown","Black","Unknown","300","290","36730","32090"
"In post","2022","Unknown","Mixed","Heterosexual / straight","490","475","38410","34170"
"In post","2022","Unknown","Mixed","LGBO","55","55","40140","37750"
"In post","2022","Unknown","Mixed","Undeclared","35","35","35910","33710"
"In post","2022","Unknown","Mixed","Unknown","150","140","38740","33370"
"In post","2022","Unknown","Other ethnicity","Heterosexual / straight","125","125","37860","32790"
"In post","2022","Unknown","Other ethnicity","LGBO","15","15","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Undeclared","35","35","52890","53380"
"In post","2022","Unknown","Other ethnicity","Unknown","65","65","45240","38180"
"In post","2022","Unknown","Undeclared","Heterosexual / straight","215","200","37080","35000"
"In post","2022","Unknown","Undeclared","LGBO","15","15","[c]","[c]"
"In post","2022","Unknown","Undeclared","Undeclared","855","820","40180","36330"
"In post","2022","Unknown","Undeclared","Unknown","895","830","38830","35000"
"In post","2022","Unknown","Unknown","Heterosexual / straight","845","790","34910","30450"
"In post","2022","Unknown","Unknown","LGBO","90","85","34220","31310"
"In post","2022","Unknown","Unknown","Undeclared","1515","1465","45270","40650"
"In post","2022","Unknown","Unknown","Unknown","58485","56005","33360","28500"
"In post","2022","Unknown","White","Heterosexual / straight","17170","16345","37540","34430"
"In post","2022","Unknown","White","LGBO","1240","1220","36030","32770"
"In post","2022","Unknown","White","Undeclared","1335","1265","38840","35000"
"In post","2022","Unknown","White","Unknown","5695","5210","36210","31910"
"Leaver CS","2022","Declared disabled","Asian","Heterosexual / straight","150","[c]","29120","27570"
"Leaver CS","2022","Declared disabled","Asian","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","Heterosexual / straight","115","[c]","31630","27850"
"Leaver CS","2022","Declared disabled","Black","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","Heterosexual / straight","90","[c]","28980","27570"
"Leaver CS","2022","Declared disabled","Mixed","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","Undeclared","120","[c]","33500","27570"
"Leaver CS","2022","Declared disabled","Undeclared","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Undeclared","15","[c]","[c]","[c]"
