"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","London","440","435","45670","42010"
"In post","2022","Asian","Analysis","Outside London","185","180","36130","33400"
"In post","2022","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","160","160","47290","40860"
"In post","2022","Asian","Commercial","Outside London","130","130","36230","33370"
"In post","2022","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","150","145","43390","40450"
"In post","2022","Asian","Communications","Outside London","565","550","29230","26820"
"In post","2022","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","645","590","32580","31060"
"In post","2022","Asian","Counter Fraud","Outside London","705","665","29550","27570"
"In post","2022","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","London","120","100","28440","26400"
"In post","2022","Asian","Debt","Outside London","600","525","22410","21260"
"In post","2022","Asian","Debt","Unknown","50","40","25530","25110"
"In post","2022","Asian","Digital, Data & Technology","London","625","615","45840","41480"
"In post","2022","Asian","Digital, Data & Technology","Outside London","770","760","38800","36000"
"In post","2022","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","535","525","44110","40940"
"In post","2022","Asian","Finance","Outside London","600","575","34190","31200"
"In post","2022","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Outside London","40","35","24480","21300"
"In post","2022","Asian","Human Resources","London","345","335","40700","36650"
"In post","2022","Asian","Human Resources","Outside London","320","305","33010","30470"
"In post","2022","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","55","50","48500","49750"
"In post","2022","Asian","Internal Audit","Outside London","35","35","44460","39980"
"In post","2022","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","700","650","46420","50500"
"In post","2022","Asian","Legal","Outside London","485","450","40070","38760"
"In post","2022","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
