"Status","Year","Disability","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Female","335","300","56420","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Male","195","190","57120","55610"
"In post","2022","Declared disabled","Attorney General's Departments","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Female","260","235","27870","25950"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Male","85","80","27010","23770"
"In post","2022","Declared disabled","Attorney General's Departments","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Property","Male","[c]","[c]","[c]","[c]"
