"Status","Year","Age","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Inner London - West","London","10","10","[c]","[c]"
"In post","2022","16-19","Communications","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Devon","Outside London","10","10","18800","19380"
"In post","2022","16-19","Digital, Data and Technology","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","East Wales","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Economics","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Inner London - West","London","15","15","25610","24300"
"In post","2022","16-19","Economics","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
