"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","Female","125","110","22760","22200"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","Male","60","60","22540","22200"
"In post","2022","Declared disabled","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Female","155","140","28110","28430"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Male","55","55","28780","28430"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","Female","305","270","58760","55610"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","Male","180","175","59070","55610"
"In post","2022","Declared disabled","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","Female","95","90","36470","35710"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","Male","60","60","36410","35020"
"In post","2022","Declared disabled","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","Female","40","35","21640","21050"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","Male","35","30","21920","21170"
"In post","2022","Declared disabled","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","EO","Female","100","90","26740","27500"
"In post","2022","Declared disabled","Cabinet Office","EO","Male","45","45","27070","27500"
"In post","2022","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","Female","160","155","56910","54700"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","Male","140","140","58550","56340"
"In post","2022","Declared disabled","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","SCS level","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","SCS level","Male","30","30","91410","77690"
"In post","2022","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","SEO/HEO","Female","190","185","36710","37300"
"In post","2022","Declared disabled","Cabinet Office","SEO/HEO","Male","145","140","35890","34550"
"In post","2022","Declared disabled","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","Male","5","5","[c]","[c]"
