"Status","Year","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Female","350","330","37610","36530"
"In post","2022","Declared disabled","Commercial","Male","245","240","39140","36500"
"In post","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Female","200","190","39730","36960"
"In post","2022","Declared disabled","Communications","Male","120","120","37320","34360"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Female","620","540","28320","27570"
"In post","2022","Declared disabled","Counter Fraud","Male","370","340","28390","27570"
"In post","2022","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Female","700","660","38870","35970"
"In post","2022","Declared disabled","Digital, Data and Technology","Male","1040","1010","40860","36970"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Female","45","45","45180","38750"
"In post","2022","Declared disabled","Economics","Male","70","70","47860","41840"
"In post","2022","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Female","660","620","37340","33300"
"In post","2022","Declared disabled","Finance","Male","455","440","40040","36050"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Geography","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Female","895","845","39680","35070"
"In post","2022","Declared disabled","Human Resources","Male","370","360","40210","36190"
"In post","2022","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","Female","50","50","59630","51360"
"In post","2022","Declared disabled","Inspector of Education and Training","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Female","150","140","31410","28760"
"In post","2022","Declared disabled","Intelligence Analysis","Male","145","140","35260","33080"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","Female","55","50","44610","41230"
"In post","2022","Declared disabled","Internal Audit","Male","40","35","44790","39200"
"In post","2022","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","Female","70","70","45290","39810"
"In post","2022","Declared disabled","International Trade","Male","60","60","49820","51710"
"In post","2022","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","Female","175","165","33750","31990"
"In post","2022","Declared disabled","Knowledge and Information Management","Male","130","125","36730","33220"
"In post","2022","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","Female","635","570","49090","50500"
"In post","2022","Declared disabled","Legal","Male","415","395","49450","50510"
"In post","2022","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicine","Female","80","75","51840","40880"
"In post","2022","Declared disabled","Medicine","Male","40","40","68600","70530"
"In post","2022","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Delivery","Female","19965","17415","27540","27350"
"In post","2022","Declared disabled","Operational Delivery","Male","11360","10670","28530","27570"
"In post","2022","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","Female","35","35","42310","42520"
