"Status","Year","Disability","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","London","Heterosexual / straight","7230","6880","41330","35900"
"In post","2022","Declared disabled","London","LGBO","1150","1125","43080","37930"
"In post","2022","Declared disabled","London","Undeclared","1015","960","40530","35070"
"In post","2022","Declared disabled","London","Unknown","535","495","38230","31880"
"In post","2022","Declared disabled","Outside London","Heterosexual / straight","33155","30160","30380","27570"
"In post","2022","Declared disabled","Outside London","LGBO","3670","3515","30140","27570"
"In post","2022","Declared disabled","Outside London","Undeclared","4485","4030","29910","27570"
"In post","2022","Declared disabled","Outside London","Unknown","2985","2600","29140","27570"
"In post","2022","Declared disabled","Overseas","Heterosexual / straight","170","170","48220","44140"
"In post","2022","Declared disabled","Overseas","LGBO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Overseas","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","105","95","32150","27700"
"In post","2022","Declared disabled","Unknown","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","London","Heterosexual / straight","54315","52295","44510","39420"
"In post","2022","Declared non-disabled","London","LGBO","3745","3680","46250","41750"
"In post","2022","Declared non-disabled","London","Undeclared","4975","4725","43310","37930"
"In post","2022","Declared non-disabled","London","Unknown","4340","4005","41120","34260"
"In post","2022","Declared non-disabled","Outside London","Heterosexual / straight","207660","194035","32350","27570"
"In post","2022","Declared non-disabled","Outside London","LGBO","10625","10310","31410","27570"
"In post","2022","Declared non-disabled","Outside London","Undeclared","18010","16440","31740","27570"
"In post","2022","Declared non-disabled","Outside London","Unknown","27825","24610","31270","27570"
"In post","2022","Declared non-disabled","Overseas","Heterosexual / straight","1965","1955","49070","46600"
"In post","2022","Declared non-disabled","Overseas","LGBO","130","130","52510","52760"
"In post","2022","Declared non-disabled","Overseas","Undeclared","185","185","46310","41240"
"In post","2022","Declared non-disabled","Overseas","Unknown","70","70","50200","52400"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","685","650","33830","31030"
"In post","2022","Declared non-disabled","Unknown","LGBO","40","40","34540","28640"
"In post","2022","Declared non-disabled","Unknown","Undeclared","55","55","32620","27570"
"In post","2022","Declared non-disabled","Unknown","Unknown","65","60","27960","27570"
"In post","2022","Undeclared","London","Heterosexual / straight","2370","2285","42110","36900"
"In post","2022","Undeclared","London","LGBO","260","255","43050","38590"
"In post","2022","Undeclared","London","Undeclared","2170","2095","44770","40220"
"In post","2022","Undeclared","London","Unknown","550","510","37850","34780"
