"Status","Year","Organisation","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","AA","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","AA","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","HEO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","HEO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO","Female","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AO","Female","15","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Female","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Female","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","HEO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","HEO","Female","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","HEO","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Female","20","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Male","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","Female","40","40","37310","38470"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","Male","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","Female","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Female","40","35","24430","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","EO","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Female","40","35","32040","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","HEO","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","SEO","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","AO","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Female","35","30","24690","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","EO","Male","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","HEO","Female","35","30","32890","34500"
