"Status","Year","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","45","45","21300","21050"
"In post","2022","16-19","Declared non-disabled","670","650","21990","21260"
"In post","2022","16-19","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","545","525","21610","21250"
"In post","2022","20-29","Declared disabled","5785","5680","29570","27570"
"In post","2022","20-29","Declared non-disabled","50385","49710","29790","27570"
"In post","2022","20-29","Undeclared","2440","2405","30730","28330"
"In post","2022","20-29","Unknown","25970","25625","29640","27570"
"In post","2022","30-39","Declared disabled","8910","8460","33620","30110"
"In post","2022","30-39","Declared non-disabled","73395","69745","35170","31080"
"In post","2022","30-39","Undeclared","5165","4930","34670","31100"
"In post","2022","30-39","Unknown","24060","23160","35640","32460"
"In post","2022","40-49","Declared disabled","12470","11580","33770","29080"
"In post","2022","40-49","Declared non-disabled","79270","74285","37450","31990"
"In post","2022","40-49","Undeclared","6445","6120","35550","31650"
"In post","2022","40-49","Unknown","18305","17395","39240","33600"
"In post","2022","50-59","Declared disabled","19400","17970","32680","27570"
"In post","2022","50-59","Declared non-disabled","95660","90015","35760","30820"
"In post","2022","50-59","Undeclared","9790","9280","34200","31650"
"In post","2022","50-59","Unknown","18185","17160","38060","33370"
"In post","2022","60-64","Declared disabled","6130","4985","30010","27570"
"In post","2022","60-64","Declared non-disabled","26930","22365","32460","27570"
"In post","2022","60-64","Undeclared","2785","2295","31630","28440"
"In post","2022","60-64","Unknown","4720","3980","34230","28920"
"In post","2022","65+","Declared disabled","1870","1420","29170","27320"
"In post","2022","65+","Declared non-disabled","8370","6460","31210","27480"
"In post","2022","65+","Undeclared","850","655","30300","27020"
"In post","2022","65+","Unknown","1495","1160","34230","28560"
"In post","2022","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","15","10","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","90","[c]","21400","21260"
"Leaver CS","2022","16-19","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","90","[c]","20210","20420"
"Leaver CS","2022","20-29","Declared disabled","750","[c]","26000","24250"
"Leaver CS","2022","20-29","Declared non-disabled","5785","[c]","26780","25110"
"Leaver CS","2022","20-29","Undeclared","325","[c]","27720","27040"
"Leaver CS","2022","20-29","Unknown","3830","[c]","26300","24230"
"Leaver CS","2022","30-39","Declared disabled","610","[c]","30290","27570"
"Leaver CS","2022","30-39","Declared non-disabled","4735","[c]","34200","30210"
"Leaver CS","2022","30-39","Undeclared","340","[c]","33890","29180"
"Leaver CS","2022","30-39","Unknown","2390","[c]","35030","31060"
"Leaver CS","2022","40-49","Declared disabled","515","[c]","32120","27570"
"Leaver CS","2022","40-49","Declared non-disabled","3530","[c]","37760","30760"
"Leaver CS","2022","40-49","Undeclared","275","[c]","35500","29350"
"Leaver CS","2022","40-49","Unknown","1600","[c]","39730","33000"
"Leaver CS","2022","50-59","Declared disabled","985","[c]","32890","27570"
"Leaver CS","2022","50-59","Declared non-disabled","4980","[c]","36100","27880"
"Leaver CS","2022","50-59","Undeclared","515","[c]","34480","30670"
"Leaver CS","2022","50-59","Unknown","1730","[c]","40420","33030"
"Leaver CS","2022","60-64","Declared disabled","840","[c]","32680","27570"
"Leaver CS","2022","60-64","Declared non-disabled","4000","[c]","36200","29290"
"Leaver CS","2022","60-64","Undeclared","430","[c]","34000","30620"
"Leaver CS","2022","60-64","Unknown","980","[c]","39100","35000"
"Leaver CS","2022","65+","Declared disabled","765","[c]","27830","26050"
"Leaver CS","2022","65+","Declared non-disabled","3110","[c]","30400","27130"
"Leaver CS","2022","65+","Undeclared","345","[c]","28970","25930"
"Leaver CS","2022","65+","Unknown","630","[c]","35800","29140"
"Leaver CS","2022","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared non-disabled","15","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Declared disabled","510","[c]","29980","28000"
"Leaver Dept.","2022","20-29","Declared non-disabled","4275","[c]","30430","28310"
"Leaver Dept.","2022","20-29","Undeclared","245","[c]","31360","29540"
"Leaver Dept.","2022","20-29","Unknown","2140","[c]","31620","32000"
"Leaver Dept.","2022","30-39","Declared disabled","525","[c]","36070","32310"
"Leaver Dept.","2022","30-39","Declared non-disabled","4375","[c]","37990","33950"
"Leaver Dept.","2022","30-39","Undeclared","275","[c]","37010","33840"
"Leaver Dept.","2022","30-39","Unknown","1615","[c]","38920","35050"
"Leaver Dept.","2022","40-49","Declared disabled","420","[c]","38330","33300"
"Leaver Dept.","2022","40-49","Declared non-disabled","3230","[c]","42910","37470"
"Leaver Dept.","2022","40-49","Undeclared","185","[c]","39090","34900"
"Leaver Dept.","2022","40-49","Unknown","1355","[c]","46810","42010"
"Leaver Dept.","2022","50-59","Declared disabled","340","[c]","39070","31990"
"Leaver Dept.","2022","50-59","Declared non-disabled","2085","[c]","43370","36330"
"Leaver Dept.","2022","50-59","Undeclared","135","[c]","38140","34260"
"Leaver Dept.","2022","50-59","Unknown","1055","[c]","52270","47090"
"Leaver Dept.","2022","60-64","Declared disabled","45","[c]","43140","36330"
"Leaver Dept.","2022","60-64","Declared non-disabled","320","[c]","48290","37660"
