"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA/AO","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Female","70","65","26820","26670"
"In post","2022","Declared disabled","Commercial","EO","Male","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Female","50","45","57050","54540"
"In post","2022","Declared disabled","Commercial","G6/G7","Male","35","35","57560","54110"
"In post","2022","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Female","195","185","37520","37760"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Male","145","145","37980","36830"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Female","40","35","28080","27570"
"In post","2022","Declared disabled","Communications","EO","Male","30","30","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Female","50","45","56480","54910"
"In post","2022","Declared disabled","Communications","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","Female","95","90","37570","37320"
"In post","2022","Declared disabled","Communications","SEO/HEO","Male","65","60","37380","36710"
"In post","2022","Declared disabled","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Female","155","125","22620","21680"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Male","85","75","22200","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","EO","Female","360","315","28210","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Male","215","195","28060","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Female","105","95","35200","33480"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Male","60","60","34810","33180"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","Female","30","30","21000","21260"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","Male","35","35","21720","21260"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Female","145","130","27550","26930"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Male","250","240","27520","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","Female","155","150","56620","54550"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","Male","250","245","58920","57500"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","Female","365","345","36540","36010"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","Male","485","475","37790","37220"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","Male","35","35","61540","59210"
"In post","2022","Declared disabled","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","Male","35","35","35350","34900"
"In post","2022","Declared disabled","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
