"Status","Year","Profession_of_post","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Outside London","Heterosexual / straight","95","90","42580","38710"
"In post","2022","Commercial","East Midlands (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","Heterosexual / straight","145","140","38510","34800"
"In post","2022","Commercial","East of England","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","East of England","Outside London","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","London","London","Heterosexual / straight","710","690","47210","42470"
"In post","2022","Commercial","London","London","LGBO","60","60","44370","41200"
"In post","2022","Commercial","London","London","Undeclared","160","155","47750","43260"
"In post","2022","Commercial","London","London","Unknown","175","170","43540","40390"
"In post","2022","Commercial","North East (England)","Outside London","Heterosexual / straight","145","140","39180","36500"
"In post","2022","Commercial","North East (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","North East (England)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","North West (England)","Outside London","Heterosexual / straight","450","435","38130","36500"
"In post","2022","Commercial","North West (England)","Outside London","LGBO","30","30","34280","31620"
"In post","2022","Commercial","North West (England)","Outside London","Undeclared","40","35","35930","32400"
"In post","2022","Commercial","North West (England)","Outside London","Unknown","110","105","34790","32040"
"In post","2022","Commercial","Northern Ireland","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Heterosexual / straight","35","35","49380","42130"
"In post","2022","Commercial","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","Heterosexual / straight","185","185","36950","34500"
"In post","2022","Commercial","Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Scotland","Outside London","Unknown","80","80","30740","26900"
"In post","2022","Commercial","South East (England)","Outside London","Heterosexual / straight","360","345","37960","35600"
"In post","2022","Commercial","South East (England)","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","South East (England)","Outside London","Undeclared","40","40","40660","41750"
"In post","2022","Commercial","South East (England)","Outside London","Unknown","55","55","34520","33570"
"In post","2022","Commercial","South West (England)","Outside London","Heterosexual / straight","1415","1355","39990","37610"
"In post","2022","Commercial","South West (England)","Outside London","LGBO","55","55","35050","33000"
"In post","2022","Commercial","South West (England)","Outside London","Undeclared","200","190","41200","38240"
"In post","2022","Commercial","South West (England)","Outside London","Unknown","190","185","37100","35000"
"In post","2022","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","Heterosexual / straight","265","250","35740","31930"
"In post","2022","Commercial","Wales","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Wales","Outside London","Undeclared","60","55","32410","31410"
"In post","2022","Commercial","Wales","Outside London","Unknown","35","35","37260","33250"
"In post","2022","Commercial","West Midlands (England)","Outside London","Heterosexual / straight","190","185","38530","36500"
"In post","2022","Commercial","West Midlands (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","West Midlands (England)","Outside London","Unknown","55","50","37620","36500"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Heterosexual / straight","445","425","38930","36500"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","LGBO","40","35","36800","35740"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Undeclared","70","65","39320","36820"
"In post","2022","Commercial","Yorkshire and The Humber","Outside London","Unknown","80","75","38230","36270"
"In post","2022","Communications","East Midlands (England)","Outside London","Heterosexual / straight","70","65","39960","38640"
"In post","2022","Communications","East Midlands (England)","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","Heterosexual / straight","60","55","36000","33300"
"In post","2022","Communications","East of England","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","London","London","Heterosexual / straight","1350","1315","47540","43800"
"In post","2022","Communications","London","London","LGBO","155","150","44800","42710"
"In post","2022","Communications","London","London","Undeclared","270","265","45640","40750"
"In post","2022","Communications","London","London","Unknown","435","430","45520","42200"
"In post","2022","Communications","North East (England)","Outside London","Heterosexual / straight","75","70","36260","33370"
"In post","2022","Communications","North East (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","North East (England)","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","North West (England)","Outside London","Heterosexual / straight","170","160","37820","36850"
"In post","2022","Communications","North West (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","North West (England)","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Communications","North West (England)","Outside London","Unknown","35","30","37720","34880"
"In post","2022","Communications","Northern Ireland","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Heterosexual / straight","55","50","38590","37710"
"In post","2022","Communications","Scotland","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","Heterosexual / straight","210","200","34470","33000"
"In post","2022","Communications","South East (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","Unknown","30","30","37120","33790"
"In post","2022","Communications","South West (England)","Outside London","Heterosexual / straight","225","210","36530","35340"
"In post","2022","Communications","South West (England)","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","South West (England)","Outside London","Undeclared","30","30","35190","33300"
"In post","2022","Communications","South West (England)","Outside London","Unknown","45","40","36540","30530"
"In post","2022","Communications","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wales","Outside London","Heterosexual / straight","275","255","37520","34740"
"In post","2022","Communications","Wales","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","Wales","Outside London","Undeclared","45","40","39210","38160"
"In post","2022","Communications","Wales","Outside London","Unknown","50","45","37750","35790"
"In post","2022","Communications","West Midlands (England)","Outside London","Heterosexual / straight","120","120","38750","36480"
