"Status","Year","Disability","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","London","1395","1295","36830","31880"
"In post","2022","Declared disabled","Asian","Outside London","1700","1550","28860","27570"
"In post","2022","Declared disabled","Asian","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","London","1345","1285","34590","31060"
"In post","2022","Declared disabled","Black","Outside London","700","650","29740","27570"
"In post","2022","Declared disabled","Black","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","London","490","470","39810","34550"
"In post","2022","Declared disabled","Mixed","Outside London","885","825","30640","27570"
"In post","2022","Declared disabled","Mixed","Overseas","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","175","170","40030","34260"
"In post","2022","Declared disabled","Other ethnicity","Outside London","200","190","31190","27570"
"In post","2022","Declared disabled","Other ethnicity","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","London","410","385","39210","33020"
"In post","2022","Declared disabled","Undeclared","Outside London","1670","1525","30610","27570"
"In post","2022","Declared disabled","Undeclared","Overseas","15","15","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","260","250","40300","36250"
"In post","2022","Declared disabled","Unknown","Outside London","1020","910","30890","27570"
"In post","2022","Declared disabled","Unknown","Overseas","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","London","5855","5610","44240","39000"
"In post","2022","Declared disabled","White","Outside London","38115","34655","30250","27570"
"In post","2022","Declared disabled","White","Overseas","185","185","48400","51500"
"In post","2022","Declared disabled","White","Unknown","95","90","33070","27570"
"In post","2022","Declared non-disabled","Asian","London","11505","10905","38010","33400"
"In post","2022","Declared non-disabled","Asian","Outside London","14565","13550","29500","27570"
"In post","2022","Declared non-disabled","Asian","Overseas","115","115","44590","38450"
"In post","2022","Declared non-disabled","Asian","Unknown","130","115","28650","27570"
"In post","2022","Declared non-disabled","Black","London","7985","7730","35210","31170"
"In post","2022","Declared non-disabled","Black","Outside London","5050","4825","29770","27570"
"In post","2022","Declared non-disabled","Black","Overseas","50","50","43650","38570"
"In post","2022","Declared non-disabled","Black","Unknown","45","45","33730","31060"
"In post","2022","Declared non-disabled","Mixed","London","2620","2540","41850","37100"
"In post","2022","Declared non-disabled","Mixed","Outside London","3880","3675","31510","27570"
"In post","2022","Declared non-disabled","Mixed","Overseas","85","85","49450","49370"
"In post","2022","Declared non-disabled","Mixed","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","London","945","905","40450","35050"
"In post","2022","Declared non-disabled","Other ethnicity","Outside London","920","865","31890","27570"
"In post","2022","Declared non-disabled","Other ethnicity","Overseas","30","30","47480","41350"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","London","2070","1955","40790","35200"
"In post","2022","Declared non-disabled","Undeclared","Outside London","6890","6305","32210","27570"
"In post","2022","Declared non-disabled","Undeclared","Overseas","70","70","44280","39970"
"In post","2022","Declared non-disabled","Undeclared","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","London","1495","1425","43510","36650"
"In post","2022","Declared non-disabled","Unknown","Outside London","7600","6970","30420","27570"
"In post","2022","Declared non-disabled","Unknown","Overseas","50","50","49100","52870"
"In post","2022","Declared non-disabled","Unknown","Unknown","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","White","London","40750","39240","48310","43560"
"In post","2022","Declared non-disabled","White","Outside London","225215","209200","32450","27570"
"In post","2022","Declared non-disabled","White","Overseas","1950","1940","49660","49370"
"In post","2022","Declared non-disabled","White","Unknown","605","580","34320","30490"
"In post","2022","Undeclared","Asian","London","600","570","38230","33570"
"In post","2022","Undeclared","Asian","Outside London","760","700","29170","27570"
"In post","2022","Undeclared","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","London","500","475","34470","32000"
"In post","2022","Undeclared","Black","Outside London","265","250","30570","28200"
"In post","2022","Undeclared","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","London","160","150","41290","35090"
"In post","2022","Undeclared","Mixed","Outside London","265","255","31240","27580"
"In post","2022","Undeclared","Mixed","Overseas","5","5","[c]","[c]"
"In post","2022","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","London","50","45","38110","34500"
"In post","2022","Undeclared","Other ethnicity","Outside London","80","75","35640","31650"
"In post","2022","Undeclared","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","London","1545","1495","44910","40600"
"In post","2022","Undeclared","Undeclared","Outside London","5430","5110","34060","31570"
"In post","2022","Undeclared","Undeclared","Overseas","75","75","46400","41900"
"In post","2022","Undeclared","Undeclared","Unknown","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","London","245","235","40500","36710"
"In post","2022","Undeclared","Unknown","Outside London","860","785","31030","28920"
"In post","2022","Undeclared","Unknown","Overseas","5","5","[c]","[c]"
"In post","2022","Undeclared","White","London","2245","2170","44880","40050"
"In post","2022","Undeclared","White","Outside London","14270","13170","30900","27720"
