"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","AA/AO","60","55","23530","23330"
"In post","2022","Commercial","London","EO","120","115","29050","28660"
"In post","2022","Commercial","London","G6/G7","335","330","61010","58060"
"In post","2022","Commercial","London","SCS level","55","50","84100","79350"
"In post","2022","Commercial","London","SEO/HEO","530","520","40120","40650"
"In post","2022","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Outside London","AA/AO","265","240","22360","21510"
"In post","2022","Commercial","Outside London","EO","785","740","26080","26350"
"In post","2022","Commercial","Outside London","G6/G7","880","855","56710","54160"
"In post","2022","Commercial","Outside London","SCS level","50","50","89820","80770"
"In post","2022","Commercial","Outside London","SEO/HEO","2880","2780","36540","36500"
"In post","2022","Commercial","Outside London","Unknown","190","185","39830","38200"
"In post","2022","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","10","10","66840","60720"
"In post","2022","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","25","25","42030","41650"
"In post","2022","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","AA/AO","65","65","23890","24090"
"In post","2022","Communications","London","EO","260","255","28630","28310"
"In post","2022","Communications","London","G6/G7","735","710","59850","57730"
"In post","2022","Communications","London","SCS level","95","90","90690","86070"
"In post","2022","Communications","London","SEO/HEO","1055","1040","39580","39750"
"In post","2022","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","145","135","21600","21370"
"In post","2022","Communications","Outside London","EO","335","315","27050","26670"
"In post","2022","Communications","Outside London","G6/G7","345","335","56000","55210"
"In post","2022","Communications","Outside London","SCS level","15","15","78530","76890"
"In post","2022","Communications","Outside London","SEO/HEO","1080","1035","36370","36500"
"In post","2022","Communications","Outside London","Unknown","10","10","36930","31420"
"In post","2022","Communications","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","10","5","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","20","20","63950","64860"
"In post","2022","Corporate Finance","London","SCS level","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","15","15","39120","38060"
"In post","2022","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","35","30","55220","50210"
"In post","2022","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","40","40","37060","38070"
"In post","2022","Counter Fraud","London","AA/AO","375","325","24590","25110"
"In post","2022","Counter Fraud","London","EO","460","425","31050","31060"
"In post","2022","Counter Fraud","London","G6/G7","105","105","63320","62500"
