"Status","Year","Age","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","AA/AO","Heterosexual / straight","35","35","23570","23780"
"In post","2022","16-19","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","London","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","16-19","London","EO","Heterosexual / straight","45","45","26520","26950"
"In post","2022","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","London","EO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","AA/AO","Heterosexual / straight","420","410","21220","21250"
"In post","2022","16-19","Outside London","AA/AO","LGBO","35","35","22290","21260"
"In post","2022","16-19","Outside London","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2022","16-19","Outside London","AA/AO","Unknown","340","320","21140","21250"
"In post","2022","16-19","Outside London","EO","Heterosexual / straight","140","140","23050","23880"
"In post","2022","16-19","Outside London","EO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Outside London","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Outside London","EO","Unknown","80","80","21340","21030"
"In post","2022","16-19","Outside London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
