"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East of England","320","305","34670","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","South West (England)","140","135","33550","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Digital, Data and Technology","Wales","15","15","38340","36480"
"In post","2022","Analysis","Companies House","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","Wales","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Statistics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","London","95","90","64300","59890"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","London","30","30","55030","54320"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","South East (England)","15","15","27300","26030"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","South West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","South East (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Delivery","South West (England)","10","10","40410","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","South East (England)","260","250","43150","47010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Operational Research","South West (England)","15","15","43590","47010"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","South East (England)","90","85","39940","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Science and Engineering","South West (England)","75","70","36250","38070"
