"Status","Year","Age","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Other","[c]","[c]","[c]","[c]"
