"Status","Year","Age","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Heterosexual / straight","35","35","21140","21010"
"In post","2022","16-19","Declared disabled","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Heterosexual / straight","560","545","22060","21260"
"In post","2022","16-19","Declared non-disabled","LGBO","45","40","22730","21680"
"In post","2022","16-19","Declared non-disabled","Undeclared","30","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","40","40","20260","21300"
"In post","2022","16-19","Undeclared","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Heterosexual / straight","65","65","22210","21680"
"In post","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","470","455","21490","21250"
"In post","2022","20-29","Declared disabled","Heterosexual / straight","3845","3775","29550","27570"
"In post","2022","20-29","Declared disabled","LGBO","1310","1290","29610","27570"
"In post","2022","20-29","Declared disabled","Undeclared","440","425","30100","27570"
"In post","2022","20-29","Declared disabled","Unknown","190","185","28440","27540"
"In post","2022","20-29","Declared non-disabled","Heterosexual / straight","41355","40795","29730","27570"
"In post","2022","20-29","Declared non-disabled","LGBO","4410","4365","30520","27570"
"In post","2022","20-29","Declared non-disabled","Undeclared","2325","2290","30920","28310"
"In post","2022","20-29","Declared non-disabled","Unknown","2295","2260","28380","27570"
"In post","2022","20-29","Undeclared","Heterosexual / straight","1290","1270","30580","28000"
"In post","2022","20-29","Undeclared","LGBO","325","325","29570","27570"
"In post","2022","20-29","Undeclared","Undeclared","755","745","31770","30450"
"In post","2022","20-29","Undeclared","Unknown","65","65","27630","27570"
"In post","2022","20-29","Unknown","Heterosexual / straight","4435","4390","31620","30040"
"In post","2022","20-29","Unknown","LGBO","610","600","32270","30210"
"In post","2022","20-29","Unknown","Undeclared","900","895","34970","32790"
"In post","2022","20-29","Unknown","Unknown","20020","19740","28880","27020"
"In post","2022","30-39","Declared disabled","Heterosexual / straight","6490","6140","33500","29810"
"In post","2022","30-39","Declared disabled","LGBO","1330","1295","34260","30740"
"In post","2022","30-39","Declared disabled","Undeclared","710","675","33860","30590"
"In post","2022","30-39","Declared disabled","Unknown","380","350","32880","29230"
"In post","2022","30-39","Declared non-disabled","Heterosexual / straight","60255","57285","35240","31180"
"In post","2022","30-39","Declared non-disabled","LGBO","4370","4305","36430","32230"
"In post","2022","30-39","Declared non-disabled","Undeclared","3775","3600","35680","32040"
"In post","2022","30-39","Declared non-disabled","Unknown","4995","4560","32800","29230"
"In post","2022","30-39","Undeclared","Heterosexual / straight","2480","2355","33810","30200"
"In post","2022","30-39","Undeclared","LGBO","330","325","34640","31060"
"In post","2022","30-39","Undeclared","Undeclared","1900","1840","36600","33210"
"In post","2022","30-39","Undeclared","Unknown","455","415","31340","27570"
"In post","2022","30-39","Unknown","Heterosexual / straight","5465","5255","37890","35730"
"In post","2022","30-39","Unknown","LGBO","475","470","38140","35000"
"In post","2022","30-39","Unknown","Undeclared","875","850","43370","40650"
"In post","2022","30-39","Unknown","Unknown","17240","16580","34470","30730"
"In post","2022","40-49","Declared disabled","Heterosexual / straight","9430","8745","33880","29170"
"In post","2022","40-49","Declared disabled","LGBO","1035","1000","35970","31380"
"In post","2022","40-49","Declared disabled","Undeclared","1215","1130","32670","28200"
"In post","2022","40-49","Declared disabled","Unknown","790","705","31340","27570"
"In post","2022","40-49","Declared non-disabled","Heterosexual / straight","62795","59125","37880","33000"
"In post","2022","40-49","Declared non-disabled","LGBO","2795","2720","40330","33380"
"In post","2022","40-49","Declared non-disabled","Undeclared","5295","4940","36170","31420"
"In post","2022","40-49","Declared non-disabled","Unknown","8385","7500","34090","27570"
"In post","2022","40-49","Undeclared","Heterosexual / straight","2920","2765","34870","31380"
"In post","2022","40-49","Undeclared","LGBO","225","225","36950","32040"
"In post","2022","40-49","Undeclared","Undeclared","2485","2380","37270","33350"
"In post","2022","40-49","Undeclared","Unknown","815","755","32320","31650"
"In post","2022","40-49","Unknown","Heterosexual / straight","4790","4570","41190","37740"
"In post","2022","40-49","Unknown","LGBO","220","220","40950","36620"
"In post","2022","40-49","Unknown","Undeclared","880","835","45370","40650"
"In post","2022","40-49","Unknown","Unknown","12415","11770","38050","33000"
"In post","2022","50-59","Declared disabled","Heterosexual / straight","14785","13725","32780","27570"
"In post","2022","50-59","Declared disabled","LGBO","940","895","34570","30100"
"In post","2022","50-59","Declared disabled","Undeclared","2195","2020","32530","27570"
"In post","2022","50-59","Declared disabled","Unknown","1475","1335","30700","27570"
"In post","2022","50-59","Declared non-disabled","Heterosexual / straight","73330","69395","36250","31180"
"In post","2022","50-59","Declared non-disabled","LGBO","2300","2215","37810","31900"
"In post","2022","50-59","Declared non-disabled","Undeclared","8300","7760","34690","29470"
"In post","2022","50-59","Declared non-disabled","Unknown","11730","10640","33050","27570"
"In post","2022","50-59","Undeclared","Heterosexual / straight","4260","4040","33220","30790"
"In post","2022","50-59","Undeclared","LGBO","195","185","35240","31650"
"In post","2022","50-59","Undeclared","Undeclared","3990","3805","35910","32750"
"In post","2022","50-59","Undeclared","Unknown","1345","1250","32120","31650"
"In post","2022","50-59","Unknown","Heterosexual / straight","5000","4760","39600","35000"
"In post","2022","50-59","Unknown","LGBO","150","145","39580","34600"
"In post","2022","50-59","Unknown","Undeclared","940","900","43400","39070"
"In post","2022","50-59","Unknown","Unknown","12095","11355","37000","31990"
"In post","2022","60-64","Declared disabled","Heterosexual / straight","4650","3805","30090","27570"
"In post","2022","60-64","Declared disabled","LGBO","200","170","32420","27570"
"In post","2022","60-64","Declared disabled","Undeclared","760","615","29550","27570"
"In post","2022","60-64","Declared disabled","Unknown","515","400","29010","26900"
"In post","2022","60-64","Declared non-disabled","Heterosexual / straight","20180","16980","32780","27570"
"In post","2022","60-64","Declared non-disabled","LGBO","475","400","33990","27570"
"In post","2022","60-64","Declared non-disabled","Undeclared","2605","2110","31710","27570"
"In post","2022","60-64","Declared non-disabled","Unknown","3670","2870","31080","27570"
"In post","2022","60-64","Undeclared","Heterosexual / straight","1250","1045","30430","27570"
"In post","2022","60-64","Undeclared","LGBO","45","40","32570","28920"
"In post","2022","60-64","Undeclared","Undeclared","1095","915","33390","29470"
"In post","2022","60-64","Undeclared","Unknown","400","300","30460","31650"
"In post","2022","60-64","Unknown","Heterosexual / straight","1245","1045","34680","31190"
"In post","2022","60-64","Unknown","LGBO","30","25","[c]","[c]"
"In post","2022","60-64","Unknown","Undeclared","245","210","41390","34530"
"In post","2022","60-64","Unknown","Unknown","3205","2700","33510","28200"
"In post","2022","65+","Declared disabled","Heterosexual / straight","1420","1080","29420","27200"
"In post","2022","65+","Declared disabled","LGBO","45","40","30380","28430"
"In post","2022","65+","Declared disabled","Undeclared","230","170","27790","27570"
"In post","2022","65+","Declared disabled","Unknown","175","130","28640","26400"
"In post","2022","65+","Declared non-disabled","Heterosexual / straight","6135","4805","31250","27380"
"In post","2022","65+","Declared non-disabled","LGBO","145","115","30330","26520"
"In post","2022","65+","Declared non-disabled","Undeclared","895","675","31610","27570"
"In post","2022","65+","Declared non-disabled","Unknown","1195","870","30810","27570"
"In post","2022","65+","Undeclared","Heterosexual / straight","370","295","29730","26820"
