"Status","Year","Parent_department","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","Female","330","300","38250","33900"
"In post","2022","Attorney General's Departments","East Midlands (England)","Outside London","Male","155","150","41380","48080"
"In post","2022","Attorney General's Departments","East of England","Outside London","Female","370","325","39160","30110"
"In post","2022","Attorney General's Departments","East of England","Outside London","Male","145","145","47380","53050"
"In post","2022","Attorney General's Departments","London","London","Female","3040","2795","49300","51250"
"In post","2022","Attorney General's Departments","London","London","Male","1765","1725","50850","51250"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","Female","235","210","36900","28430"
"In post","2022","Attorney General's Departments","North East (England)","Outside London","Male","120","115","43820","48080"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","Female","675","615","37400","30130"
"In post","2022","Attorney General's Departments","North West (England)","Outside London","Male","340","330","43490","48080"
"In post","2022","Attorney General's Departments","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","Female","500","455","40890","32460"
"In post","2022","Attorney General's Departments","South East (England)","Outside London","Male","240","230","45930","53050"
"In post","2022","Attorney General's Departments","South West (England)","Outside London","Female","230","210","40960","41070"
"In post","2022","Attorney General's Departments","South West (England)","Outside London","Male","135","130","44850","48270"
"In post","2022","Attorney General's Departments","Wales","Outside London","Female","265","245","38220","34480"
"In post","2022","Attorney General's Departments","Wales","Outside London","Male","130","120","46300","48080"
"In post","2022","Attorney General's Departments","West Midlands (England)","Outside London","Female","415","380","39430","38000"
"In post","2022","Attorney General's Departments","West Midlands (England)","Outside London","Male","175","175","44240","48080"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","Outside London","Female","625","565","39370","34480"
"In post","2022","Attorney General's Departments","Yorkshire and The Humber","Outside London","Male","310","305","44120","48080"
"In post","2022","Cabinet Office","East Midlands (England)","Outside London","Female","35","30","48790","38980"
"In post","2022","Cabinet Office","East Midlands (England)","Outside London","Male","30","30","57620","54700"
"In post","2022","Cabinet Office","East of England","Outside London","Female","120","115","43600","39200"
"In post","2022","Cabinet Office","East of England","Outside London","Male","135","135","44360","38330"
"In post","2022","Cabinet Office","London","London","Female","3480","3410","47540","40600"
"In post","2022","Cabinet Office","London","London","Male","3120","3105","53180","54700"
"In post","2022","Cabinet Office","North East (England)","Outside London","Female","300","275","29120","25550"
"In post","2022","Cabinet Office","North East (England)","Outside London","Male","180","175","33020","28000"
"In post","2022","Cabinet Office","North West (England)","Outside London","Female","550","535","42520","38890"
"In post","2022","Cabinet Office","North West (England)","Outside London","Male","405","400","44800","38980"
"In post","2022","Cabinet Office","Northern Ireland","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Outside London","Female","165","160","42440","34550"
"In post","2022","Cabinet Office","Scotland","Outside London","Male","135","130","43580","32000"
"In post","2022","Cabinet Office","South East (England)","Outside London","Female","125","120","41110","33300"
"In post","2022","Cabinet Office","South East (England)","Outside London","Male","120","115","51200","40580"
"In post","2022","Cabinet Office","South West (England)","Outside London","Female","135","130","50640","49700"
"In post","2022","Cabinet Office","South West (England)","Outside London","Male","145","145","56990","52810"
"In post","2022","Cabinet Office","Unknown","Unknown","Female","245","240","36570","32000"
"In post","2022","Cabinet Office","Unknown","Unknown","Male","230","230","38310","32000"
"In post","2022","Cabinet Office","Wales","Outside London","Female","115","110","37060","32000"
"In post","2022","Cabinet Office","Wales","Outside London","Male","90","90","40290","37300"
"In post","2022","Cabinet Office","West Midlands (England)","Outside London","Female","125","120","47500","38310"
"In post","2022","Cabinet Office","West Midlands (England)","Outside London","Male","130","130","57430","49700"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Outside London","Female","505","475","38300","33300"
"In post","2022","Cabinet Office","Yorkshire and The Humber","Outside London","Male","425","415","40240","33300"
"In post","2022","Chancellor's other departments","London","London","Female","155","145","55440","48900"
"In post","2022","Chancellor's other departments","London","London","Male","200","195","64400","56490"
"In post","2022","Chancellor's other departments","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","North East (England)","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
