"Status","Year","Disability","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","London","Female","855","775","36570","31880"
"In post","2022","Declared disabled","Asian","London","Male","540","520","37240","33210"
"In post","2022","Declared disabled","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Outside London","Female","935","820","28270","27570"
"In post","2022","Declared disabled","Asian","Outside London","Male","765","730","29590","27570"
"In post","2022","Declared disabled","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","London","Female","1010","955","34290","31060"
"In post","2022","Declared disabled","Black","London","Male","335","330","35500","31880"
"In post","2022","Declared disabled","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Outside London","Female","490","445","29530","27570"
"In post","2022","Declared disabled","Black","Outside London","Male","210","205","30230","27570"
"In post","2022","Declared disabled","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","London","Female","310","290","38820","34380"
"In post","2022","Declared disabled","Mixed","London","Male","180","180","41480","34900"
"In post","2022","Declared disabled","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Outside London","Female","560","510","30410","27570"
"In post","2022","Declared disabled","Mixed","Outside London","Male","325","310","31040","27570"
"In post","2022","Declared disabled","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","London","Female","100","95","38020","33400"
"In post","2022","Declared disabled","Other ethnicity","London","Male","75","75","42670","36650"
"In post","2022","Declared disabled","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Outside London","Female","95","85","31010","27570"
"In post","2022","Declared disabled","Other ethnicity","Outside London","Male","110","105","31350","28520"
"In post","2022","Declared disabled","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","London","Female","215","195","35660","31080"
"In post","2022","Declared disabled","Undeclared","London","Male","195","190","43060","36650"
"In post","2022","Declared disabled","Undeclared","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Outside London","Female","765","670","29200","27570"
"In post","2022","Declared disabled","Undeclared","Outside London","Male","905","855","31800","28270"
"In post","2022","Declared disabled","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","London","Female","130","125","39270","35180"
"In post","2022","Declared disabled","Unknown","London","Male","125","125","41380","37110"
"In post","2022","Declared disabled","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Outside London","Female","570","500","29280","26880"
"In post","2022","Declared disabled","Unknown","Outside London","Male","450","410","32930","30700"
"In post","2022","Declared disabled","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","London","Female","3255","3075","43610","38370"
"In post","2022","Declared disabled","White","London","Male","2605","2535","45030","40050"
"In post","2022","Declared disabled","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Outside London","Female","23390","20690","29600","27570"
"In post","2022","Declared disabled","White","Outside London","Male","14725","13965","31290","27570"
"In post","2022","Declared disabled","White","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Overseas","Female","70","70","49140","53000"
"In post","2022","Declared disabled","White","Overseas","Male","115","115","47960","43640"
"In post","2022","Declared disabled","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","Female","60","55","29280","27570"
"In post","2022","Declared disabled","White","Unknown","Male","40","35","38970","27570"
"In post","2022","Declared disabled","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","London","Female","6860","6345","37320","32330"
"In post","2022","Declared non-disabled","Asian","London","Male","4640","4560","39040","34260"
"In post","2022","Declared non-disabled","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Outside London","Female","7615","6805","28700","26820"
"In post","2022","Declared non-disabled","Asian","Outside London","Male","6950","6745","30380","27570"
"In post","2022","Declared non-disabled","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Overseas","Female","50","50","41770","34770"
"In post","2022","Declared non-disabled","Asian","Overseas","Male","70","70","46640","40660"
"In post","2022","Declared non-disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Female","95","80","28360","27570"
"In post","2022","Declared non-disabled","Asian","Unknown","Male","35","35","29440","29290"
"In post","2022","Declared non-disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","London","Female","5305","5085","34840","31060"
"In post","2022","Declared non-disabled","Black","London","Male","2680","2640","35950","32080"
"In post","2022","Declared non-disabled","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Outside London","Female","2880","2705","28930","27570"
"In post","2022","Declared non-disabled","Black","Outside London","Male","2170","2120","30880","27570"
"In post","2022","Declared non-disabled","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Overseas","Female","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Overseas","Male","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Female","30","30","32300","31060"
"In post","2022","Declared non-disabled","Black","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","London","Female","1580","1510","40970","35690"
"In post","2022","Declared non-disabled","Mixed","London","Male","1040","1030","43190","38020"
"In post","2022","Declared non-disabled","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Outside London","Female","2235","2070","30510","27570"
"In post","2022","Declared non-disabled","Mixed","Outside London","Male","1645","1605","32860","28550"
"In post","2022","Declared non-disabled","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Overseas","Female","40","40","44750","38050"
"In post","2022","Declared non-disabled","Mixed","Overseas","Male","45","45","53240","52430"
"In post","2022","Declared non-disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Male","10","10","[c]","[c]"
