"Status","Year","Age","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","AA","Female","Heterosexual / straight","55","55","19850","19810"
"In post","2022","16-19","AA","Female","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","AA","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","AA","Female","Unknown","50","45","19690","20140"
"In post","2022","16-19","AA","Male","Heterosexual / straight","50","45","19400","19410"
"In post","2022","16-19","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","AA","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","AA","Male","Unknown","55","50","19680","20890"
"In post","2022","16-19","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","AO","Female","Heterosexual / straight","195","190","21990","21260"
"In post","2022","16-19","AO","Female","LGBO","25","25","[c]","[c]"
"In post","2022","16-19","AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","AO","Female","Unknown","125","120","22210","21250"
"In post","2022","16-19","AO","Male","Heterosexual / straight","155","150","21940","21260"
"In post","2022","16-19","AO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","16-19","AO","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","AO","Male","Unknown","130","125","22090","21300"
"In post","2022","16-19","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","EO","Female","Heterosexual / straight","75","75","24950","25480"
"In post","2022","16-19","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","EO","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","EO","Female","Unknown","35","35","25270","25000"
"In post","2022","16-19","EO","Male","Heterosexual / straight","105","105","23080","24300"
"In post","2022","16-19","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","EO","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","EO","Male","Unknown","70","70","21220","18030"
"In post","2022","16-19","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Unknown","30","30","17850","16720"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","AA","Female","Heterosexual / straight","865","825","20780","20890"
"In post","2022","20-29","AA","Female","LGBO","170","165","20860","20890"
"In post","2022","20-29","AA","Female","Undeclared","65","60","20510","20890"
"In post","2022","20-29","AA","Female","Unknown","505","480","20970","20890"
"In post","2022","20-29","AA","Male","Heterosexual / straight","740","730","20790","20890"
"In post","2022","20-29","AA","Male","LGBO","80","80","20540","20890"
"In post","2022","20-29","AA","Male","Undeclared","45","45","20810","20890"
"In post","2022","20-29","AA","Male","Unknown","505","495","20730","20890"
"In post","2022","20-29","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","AO","Female","Heterosexual / straight","7340","7060","22820","21300"
"In post","2022","20-29","AO","Female","LGBO","1100","1080","23300","21680"
"In post","2022","20-29","AO","Female","Undeclared","540","515","22970","21550"
"In post","2022","20-29","AO","Female","Unknown","3625","3490","22740","21640"
"In post","2022","20-29","AO","Male","Heterosexual / straight","6450","6375","23680","21840"
"In post","2022","20-29","AO","Male","LGBO","670","660","22580","21260"
"In post","2022","20-29","AO","Male","Undeclared","410","405","23620","21300"
"In post","2022","20-29","AO","Male","Unknown","3450","3405","23160","21680"
"In post","2022","20-29","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","EO","Female","Heterosexual / straight","8725","8585","27490","27570"
"In post","2022","20-29","EO","Female","LGBO","985","975","27390","27570"
"In post","2022","20-29","EO","Female","Undeclared","650","635","27440","27270"
"In post","2022","20-29","EO","Female","Unknown","2815","2770","27270","26950"
"In post","2022","20-29","EO","Male","Heterosexual / straight","6230","6205","27310","27390"
"In post","2022","20-29","EO","Male","LGBO","735","725","27210","27540"
"In post","2022","20-29","EO","Male","Undeclared","530","530","27400","27270"
"In post","2022","20-29","EO","Male","Unknown","2490","2480","27120","26820"
"In post","2022","20-29","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G6","Female","Heterosexual / straight","110","105","65140","64950"
"In post","2022","20-29","G6","Female","LGBO","15","15","[c]","[c]"
"In post","2022","20-29","G6","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","G6","Female","Unknown","40","40","65440","64500"
"In post","2022","20-29","G6","Male","Heterosexual / straight","90","90","65170","64700"
"In post","2022","20-29","G6","Male","LGBO","30","30","[c]","[c]"
"In post","2022","20-29","G6","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","G6","Male","Unknown","45","45","66640","65440"
"In post","2022","20-29","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G7","Female","Heterosexual / straight","1645","1640","53680","53380"
"In post","2022","20-29","G7","Female","LGBO","210","210","53530","53380"
"In post","2022","20-29","G7","Female","Undeclared","195","195","53980","53360"
"In post","2022","20-29","G7","Female","Unknown","455","455","54390","54260"
"In post","2022","20-29","G7","Male","Heterosexual / straight","1255","1250","54390","53760"
"In post","2022","20-29","G7","Male","LGBO","280","275","54360","53450"
"In post","2022","20-29","G7","Male","Undeclared","190","190","54230","53380"
"In post","2022","20-29","G7","Male","Unknown","445","445","55030","54680"
"In post","2022","20-29","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HEO","Female","Heterosexual / straight","6000","5955","32920","33000"
"In post","2022","20-29","HEO","Female","LGBO","800","795","32710","33000"
"In post","2022","20-29","HEO","Female","Undeclared","590","585","32920","32790"
"In post","2022","20-29","HEO","Female","Unknown","2840","2825","31960","32000"
"In post","2022","20-29","HEO","Male","Heterosexual / straight","4635","4625","33040","33080"
"In post","2022","20-29","HEO","Male","LGBO","665","660","33110","33080"
"In post","2022","20-29","HEO","Male","Undeclared","540","535","33050","33000"
"In post","2022","20-29","HEO","Male","Unknown","2665","2660","32170","32330"
"In post","2022","20-29","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
