"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","30","30","21220","21510"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","105","100","25290","25010"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6","20","20","61520","59680"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G7","60","60","48880","48080"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","135","130","29860","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","110","105","37150","36580"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","HEO","10","10","34080","36070"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","SEO","10","10","43960","45250"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","G6","35","30","75900","74480"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","G7","55","50","56940","56360"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","HEO","20","20","34170","33610"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","SCS level","15","15","107070","97750"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","SEO","10","10","44240","43880"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","AO","10","10","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","G7","205","195","50390","47020"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","HEO","135","135","30170","29230"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","SEO","155","145","39260","38070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","35","35","27910","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","20","15","71710","69470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","45","45","57750","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","HEO","120","120","35770","33980"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO","15","15","45380","46050"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6","15","15","64250","63140"
