"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Debt","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Heterosexual / straight","30","30","22170","22200"
"In post","2022","16-19","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Heterosexual / straight","365","350","22100","21260"
"In post","2022","16-19","No function","LGBO","35","35","23290","21840"
"In post","2022","16-19","No function","Undeclared","25","20","[c]","[c]"
"In post","2022","16-19","No function","Unknown","255","245","21720","21250"
"In post","2022","16-19","Project Delivery","Heterosexual / straight","60","60","19430","19460"
"In post","2022","16-19","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Unknown","50","50","17640","17140"
"In post","2022","16-19","Property","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Security","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Heterosexual / straight","55","55","22350","21260"
"In post","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","105","100","21370","21260"
"In post","2022","20-29","Analysis","Heterosexual / straight","1925","1915","36570","34000"
"In post","2022","20-29","Analysis","LGBO","305","300","35920","33370"
"In post","2022","20-29","Analysis","Undeclared","210","210","36720","33710"
"In post","2022","20-29","Analysis","Unknown","570","565","33690","31020"
"In post","2022","20-29","Commercial","Heterosexual / straight","665","660","33410","31950"
"In post","2022","20-29","Commercial","LGBO","75","75","34460","33350"
