"Status","Year","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","Heterosexual / straight","175","160","22450","21380"
"In post","2022","Commercial","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","AA/AO","Undeclared","35","30","21950","21840"
"In post","2022","Commercial","AA/AO","Unknown","100","90","23070","21640"
"In post","2022","Commercial","EO","Heterosexual / straight","620","590","26300","26350"
"In post","2022","Commercial","EO","LGBO","50","45","26300","26670"
"In post","2022","Commercial","EO","Undeclared","75","70","27050","26780"
"In post","2022","Commercial","EO","Unknown","160","155","26890","26670"
"In post","2022","Commercial","G6/G7","Heterosexual / straight","895","870","58110","54760"
"In post","2022","Commercial","G6/G7","LGBO","50","50","56030","54620"
"In post","2022","Commercial","G6/G7","Undeclared","145","140","57870","54630"
"In post","2022","Commercial","G6/G7","Unknown","140","135","57890","54620"
"In post","2022","Commercial","SCS level","Heterosexual / straight","85","85","86730","79530"
"In post","2022","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","Heterosexual / straight","2515","2430","37090","36780"
"In post","2022","Commercial","SEO/HEO","LGBO","140","140","36520","35900"
"In post","2022","Commercial","SEO/HEO","Undeclared","355","345","37950","38030"
"In post","2022","Commercial","SEO/HEO","Unknown","430","410","36910","36970"
"In post","2022","Commercial","Unknown","Heterosexual / straight","155","155","40040","39430"
"In post","2022","Commercial","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Communications","AA/AO","Heterosexual / straight","140","135","22330","21550"
"In post","2022","Communications","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2022","Communications","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2022","Communications","EO","Heterosexual / straight","385","370","27710","27270"
"In post","2022","Communications","EO","LGBO","30","30","27090","27100"
"In post","2022","Communications","EO","Undeclared","90","90","27610","27270"
"In post","2022","Communications","EO","Unknown","90","90","28200","28310"
"In post","2022","Communications","G6/G7","Heterosexual / straight","720","690","58750","57430"
"In post","2022","Communications","G6/G7","LGBO","60","60","58200","56360"
"In post","2022","Communications","G6/G7","Undeclared","130","125","58650","57460"
"In post","2022","Communications","G6/G7","Unknown","180","175","58090","56680"
"In post","2022","Communications","SCS level","Heterosexual / straight","75","75","87760","81710"
"In post","2022","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Communications","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Heterosexual / straight","1420","1375","37970","37930"
"In post","2022","Communications","SEO/HEO","LGBO","135","135","38000","37350"
"In post","2022","Communications","SEO/HEO","Undeclared","195","190","38010","38000"
"In post","2022","Communications","SEO/HEO","Unknown","400","390","37850","37910"
"In post","2022","Communications","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Unknown","25","20","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Unknown","30","25","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Heterosexual / straight","970","845","22500","21260"
"In post","2022","Counter Fraud","AA/AO","LGBO","50","45","22250","21260"
"In post","2022","Counter Fraud","AA/AO","Undeclared","165","140","22290","21260"
"In post","2022","Counter Fraud","AA/AO","Unknown","310","250","22640","22480"
"In post","2022","Counter Fraud","EO","Heterosexual / straight","2385","2160","28050","27570"
"In post","2022","Counter Fraud","EO","LGBO","125","120","28350","27570"
"In post","2022","Counter Fraud","EO","Undeclared","310","275","28080","27570"
"In post","2022","Counter Fraud","EO","Unknown","800","695","28450","27570"
"In post","2022","Counter Fraud","G6/G7","Heterosexual / straight","115","110","59630","58240"
"In post","2022","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Unknown","35","35","60680","61200"
"In post","2022","Counter Fraud","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Heterosexual / straight","895","850","35220","34270"
"In post","2022","Counter Fraud","SEO/HEO","LGBO","45","45","35060","34050"
"In post","2022","Counter Fraud","SEO/HEO","Undeclared","110","105","35250","33880"
"In post","2022","Counter Fraud","SEO/HEO","Unknown","245","240","36400","35310"
"In post","2022","Digital, Data and Technology","AA/AO","Heterosexual / straight","460","445","22030","21380"
"In post","2022","Digital, Data and Technology","AA/AO","LGBO","40","40","20820","21260"
"In post","2022","Digital, Data and Technology","AA/AO","Undeclared","60","60","21850","21600"
"In post","2022","Digital, Data and Technology","AA/AO","Unknown","110","105","21830","21260"
"In post","2022","Digital, Data and Technology","EO","Heterosexual / straight","2255","2160","27720","27570"
"In post","2022","Digital, Data and Technology","EO","LGBO","155","150","27240","27230"
"In post","2022","Digital, Data and Technology","EO","Undeclared","335","320","27930","27570"
"In post","2022","Digital, Data and Technology","EO","Unknown","730","700","27830","27570"
"In post","2022","Digital, Data and Technology","G6/G7","Heterosexual / straight","3725","3660","58440","56750"
