"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","AA","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AO","Female","Heterosexual / straight","95","85","22250","21280"
"In post","2022","Commercial","AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","AO","Female","Unknown","45","35","23370","22520"
"In post","2022","Commercial","AO","Male","Heterosexual / straight","65","65","22820","21840"
"In post","2022","Commercial","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","AO","Male","Unknown","40","35","22490","21450"
"In post","2022","Commercial","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Female","Heterosexual / straight","390","360","26320","26350"
"In post","2022","Commercial","EO","Female","LGBO","30","30","[c]","[c]"
"In post","2022","Commercial","EO","Female","Undeclared","50","45","26500","26780"
"In post","2022","Commercial","EO","Female","Unknown","95","90","26990","26670"
"In post","2022","Commercial","EO","Male","Heterosexual / straight","230","225","26280","26350"
"In post","2022","Commercial","EO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","EO","Male","Undeclared","30","25","[c]","[c]"
"In post","2022","Commercial","EO","Male","Unknown","65","65","26740","26670"
"In post","2022","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6","Female","Heterosexual / straight","125","120","67600","66230"
"In post","2022","Commercial","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","G6","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","G6","Male","Heterosexual / straight","165","160","68330","67150"
"In post","2022","Commercial","G6","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","G6","Male","Undeclared","30","30","[c]","[c]"
"In post","2022","Commercial","G6","Male","Unknown","35","30","69100","68420"
"In post","2022","Commercial","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G7","Female","Heterosexual / straight","325","310","53110","52240"
"In post","2022","Commercial","G7","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","G7","Female","Undeclared","50","50","53990","53360"
"In post","2022","Commercial","G7","Female","Unknown","45","40","51580","50060"
"In post","2022","Commercial","G7","Male","Heterosexual / straight","280","275","53660","52750"
"In post","2022","Commercial","G7","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","G7","Male","Undeclared","55","50","52600","53360"
"In post","2022","Commercial","G7","Male","Unknown","50","50","53680","53360"
"In post","2022","Commercial","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HEO","Female","Heterosexual / straight","690","650","32340","32730"
"In post","2022","Commercial","HEO","Female","LGBO","30","30","32060","32490"
"In post","2022","Commercial","HEO","Female","Undeclared","75","70","32890","33000"
"In post","2022","Commercial","HEO","Female","Unknown","110","100","32450","32610"
"In post","2022","Commercial","HEO","Male","Heterosexual / straight","460","455","32740","32840"
"In post","2022","Commercial","HEO","Male","LGBO","35","35","31650","31990"
"In post","2022","Commercial","HEO","Male","Undeclared","65","65","33190","33000"
"In post","2022","Commercial","HEO","Male","Unknown","85","80","32800","32950"
"In post","2022","Commercial","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Female","Heterosexual / straight","35","35","87780","78850"
"In post","2022","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Male","Heterosexual / straight","50","50","85950","80240"
"In post","2022","Commercial","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO","Female","Heterosexual / straight","755","725","40640","40520"
"In post","2022","Commercial","SEO","Female","LGBO","30","30","40730","38330"
"In post","2022","Commercial","SEO","Female","Undeclared","120","115","40500","40650"
"In post","2022","Commercial","SEO","Female","Unknown","125","120","40340","39960"
"In post","2022","Commercial","SEO","Male","Heterosexual / straight","615","605","41330","40800"
"In post","2022","Commercial","SEO","Male","LGBO","40","40","41090","40650"
"In post","2022","Commercial","SEO","Male","Undeclared","100","100","41560","40650"
"In post","2022","Commercial","SEO","Male","Unknown","110","110","40500","40380"
"In post","2022","Commercial","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Heterosexual / straight","85","80","37520","37400"
"In post","2022","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Heterosexual / straight","75","75","42860","40960"
"In post","2022","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
