"Status","Year","Age","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Female","Heterosexual / straight","335","325","22350","21260"
"In post","2022","16-19","Female","LGBO","35","35","23070","21760"
"In post","2022","16-19","Female","Undeclared","25","20","[c]","[c]"
"In post","2022","16-19","Female","Unknown","225","215","21970","21250"
"In post","2022","16-19","Male","Heterosexual / straight","335","325","21680","21260"
"In post","2022","16-19","Male","LGBO","15","15","[c]","[c]"
"In post","2022","16-19","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","16-19","Male","Unknown","290","280","20950","21250"
"In post","2022","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Female","Heterosexual / straight","29135","28580","29820","27570"
"In post","2022","20-29","Female","LGBO","3815","3760","29490","27570"
"In post","2022","20-29","Female","Undeclared","2415","2370","31350","28950"
"In post","2022","20-29","Female","Unknown","11700","11460","28570","26900"
"In post","2022","20-29","Male","Heterosexual / straight","21785","21655","30000","27570"
"In post","2022","20-29","Male","LGBO","2845","2825","31740","28550"
"In post","2022","20-29","Male","Undeclared","2000","1985","32360","30620"
"In post","2022","20-29","Male","Unknown","10870","10790","29090","27230"
"In post","2022","20-29","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Female","Heterosexual / straight","41170","37815","34730","31010"
"In post","2022","30-39","Female","LGBO","3325","3235","34640","31060"
"In post","2022","30-39","Female","Undeclared","3580","3330","36190","32730"
"In post","2022","30-39","Female","Unknown","11735","10695","33190","28310"
"In post","2022","30-39","Male","Heterosexual / straight","33510","33210","35850","32120"
"In post","2022","30-39","Male","LGBO","3185","3160","37450","33080"
"In post","2022","30-39","Male","Undeclared","3680","3635","37120","33370"
"In post","2022","30-39","Male","Unknown","11335","11215","34880","31540"
"In post","2022","30-39","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Female","Heterosexual / straight","45935","41590","36420","31180"
"In post","2022","40-49","Female","LGBO","1970","1885","37610","32240"
"In post","2022","40-49","Female","Undeclared","5085","4575","35420","30810"
"In post","2022","40-49","Female","Unknown","12315","10810","34560","28140"
"In post","2022","40-49","Male","Heterosexual / straight","33995","33610","38940","33370"
"In post","2022","40-49","Male","LGBO","2310","2275","40420","33370"
"In post","2022","40-49","Male","Undeclared","4790","4715","38310","33370"
"In post","2022","40-49","Male","Unknown","10090","9915","38020","33080"
"In post","2022","40-49","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Female","Heterosexual / straight","54320","49845","33800","28310"
"In post","2022","50-59","Female","LGBO","1490","1405","35120","30600"
"In post","2022","50-59","Female","Undeclared","7965","7230","33030","27570"
"In post","2022","50-59","Female","Unknown","13945","12335","32340","27570"
"In post","2022","50-59","Male","Heterosexual / straight","43055","42075","38240","33370"
"In post","2022","50-59","Male","LGBO","2100","2040","38150","31990"
"In post","2022","50-59","Male","Undeclared","7460","7245","37550","33300"
"In post","2022","50-59","Male","Unknown","12705","12245","37210","32330"
"In post","2022","50-59","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Female","Heterosexual / straight","14760","11910","29900","27570"
"In post","2022","60-64","Female","LGBO","290","235","32220","27570"
"In post","2022","60-64","Female","Undeclared","2510","1980","29420","27080"
"In post","2022","60-64","Female","Unknown","4060","3145","28930","26210"
"In post","2022","60-64","Male","Heterosexual / straight","12560","10960","35110","30750"
"In post","2022","60-64","Male","LGBO","455","400","34340","28920"
"In post","2022","60-64","Male","Undeclared","2195","1870","35480","31650"
"In post","2022","60-64","Male","Unknown","3735","3125","35150","31650"
"In post","2022","60-64","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","65+","Female","Heterosexual / straight","3925","2960","28300","25630"
"In post","2022","65+","Female","LGBO","80","60","29620","26140"
"In post","2022","65+","Female","Undeclared","720","525","28640","26120"
"In post","2022","65+","Female","Unknown","1180","845","29350","25930"
"In post","2022","65+","Male","Heterosexual / straight","4390","3535","33280","28200"
"In post","2022","65+","Male","LGBO","130","105","31410","27570"
"In post","2022","65+","Male","Undeclared","795","630","34890","29730"
"In post","2022","65+","Male","Unknown","1365","1030","33740","28760"
"In post","2022","65+","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Heterosexual / straight","45","[c]","21470","21260"
"Leaver CS","2022","16-19","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Female","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Male","Unknown","50","[c]","19290","18310"
"Leaver CS","2022","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Female","Heterosexual / straight","2865","[c]","26730","25190"
"Leaver CS","2022","20-29","Female","LGBO","465","[c]","26590","25120"
