"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA/AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Heterosexual / straight","70","65","26910","26500"
"In post","2022","Declared disabled","Commercial","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Heterosexual / straight","70","70","57210","54520"
"In post","2022","Declared disabled","Commercial","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Heterosexual / straight","260","250","38080","38200"
"In post","2022","Declared disabled","Commercial","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Undeclared","40","40","37970","38980"
"In post","2022","Declared disabled","Commercial","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Heterosexual / straight","50","45","27810","27030"
"In post","2022","Declared disabled","Communications","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Heterosexual / straight","45","45","57260","56120"
"In post","2022","Declared disabled","Communications","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","Heterosexual / straight","105","105","37960","37500"
"In post","2022","Declared disabled","Communications","SEO/HEO","LGBO","30","30","36680","35920"
"In post","2022","Declared disabled","Communications","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Heterosexual / straight","170","145","22580","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","LGBO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Undeclared","35","30","22260","21260"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","EO","Heterosexual / straight","410","365","28050","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","LGBO","35","35","28140","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Undeclared","70","60","27950","27570"
"In post","2022","Declared disabled","Counter Fraud","EO","Unknown","55","45","29190","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Heterosexual / straight","125","115","34930","33180"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","Heterosexual / straight","50","50","21420","21260"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Heterosexual / straight","305","285","27560","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","LGBO","35","35","26840","26700"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Undeclared","35","35","27940","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","Heterosexual / straight","290","285","57910","55210"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","LGBO","45","45","58270","56600"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","Undeclared","50","45","58150","58370"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","600","575","37360","36580"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","LGBO","100","95","36550","36500"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","Undeclared","105","100","37440","37100"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","Unknown","50","45","37070","37650"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","Heterosexual / straight","40","40","61790","60850"
"In post","2022","Declared disabled","Economics","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","Heterosexual / straight","35","35","35640","34590"
"In post","2022","Declared disabled","Economics","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","Heterosexual / straight","90","80","22210","21740"
"In post","2022","Declared disabled","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","EO","Heterosexual / straight","185","175","26790","26670"
"In post","2022","Declared disabled","Finance","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","EO","Undeclared","30","30","27060","26870"
"In post","2022","Declared disabled","Finance","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6/G7","Heterosexual / straight","180","170","57830","56120"
"In post","2022","Declared disabled","Finance","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","Heterosexual / straight","425","400","36960","36050"
"In post","2022","Declared disabled","Finance","SEO/HEO","LGBO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","Undeclared","45","45","36060","34650"
"In post","2022","Declared disabled","Finance","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","Heterosexual / straight","105","100","21980","21830"
"In post","2022","Declared disabled","Human Resources","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Heterosexual / straight","155","140","27990","27570"
"In post","2022","Declared disabled","Human Resources","EO","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6/G7","Heterosexual / straight","235","225","57730","55320"
"In post","2022","Declared disabled","Human Resources","G6/G7","LGBO","30","30","58280","58710"
"In post","2022","Declared disabled","Human Resources","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","Heterosexual / straight","470","445","36920","36330"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","LGBO","75","75","35190","34110"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","Undeclared","45","45","36890","36650"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","Heterosexual / straight","30","30","73150","75480"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","Heterosexual / straight","125","115","28060","27380"
"In post","2022","Declared disabled","Intelligence Analysis","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","Heterosexual / straight","85","80","36680","35850"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","Heterosexual / straight","40","40","39360","38770"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6/G7","Heterosexual / straight","30","30","58130","58230"
"In post","2022","Declared disabled","International Trade","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO/HEO","Heterosexual / straight","30","30","35510","34990"
"In post","2022","Declared disabled","International Trade","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO/HEO","Unknown","5","5","[c]","[c]"
