"Status","Year","Disability","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Female","Heterosexual / straight","250","225","42280","38340"
"In post","2022","Declared disabled","Analysis","Female","LGBO","65","65","39220","37970"
"In post","2022","Declared disabled","Analysis","Female","Undeclared","35","30","45640","38530"
"In post","2022","Declared disabled","Analysis","Female","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Male","Heterosexual / straight","235","230","42480","38340"
"In post","2022","Declared disabled","Analysis","Male","LGBO","45","45","39970","37000"
"In post","2022","Declared disabled","Analysis","Male","Undeclared","35","30","38400","34000"
"In post","2022","Declared disabled","Analysis","Male","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Female","Heterosexual / straight","200","195","38600","37420"
"In post","2022","Declared disabled","Commercial","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Male","Heterosexual / straight","145","140","41900","38330"
"In post","2022","Declared disabled","Commercial","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Male","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Female","Heterosexual / straight","260","245","35270","33000"
"In post","2022","Declared disabled","Communications","Female","LGBO","40","40","35760","33370"
"In post","2022","Declared disabled","Communications","Female","Undeclared","35","35","37250","33080"
"In post","2022","Declared disabled","Communications","Female","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Male","Heterosexual / straight","180","175","34030","33080"
"In post","2022","Declared disabled","Communications","Male","LGBO","40","40","35470","33370"
