"Status","Year","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Female","Heterosexual / straight","45","35","33050","30040"
"In post","2022","Accountant in Bankruptcy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Male","Heterosexual / straight","30","30","34620","30640"
"In post","2022","Accountant in Bankruptcy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","445","405","33060","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Female","LGBO","30","30","30570","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Female","Undeclared","60","50","32710","33160"
"In post","2022","Advisory, Conciliation and Arbitration Service","Female","Unknown","75","70","27700","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","280","265","36200","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Male","Undeclared","55","50","36840","34950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Male","Unknown","65","65","28690","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Female","Heterosexual / straight","1295","1215","29480","26180"
"In post","2022","Animal and Plant Health Agency","Female","LGBO","75","70","27290","25730"
"In post","2022","Animal and Plant Health Agency","Female","Undeclared","190","175","32450","29390"
"In post","2022","Animal and Plant Health Agency","Female","Unknown","165","150","29190","25100"
"In post","2022","Animal and Plant Health Agency","Male","Heterosexual / straight","800","785","31910","29180"
"In post","2022","Animal and Plant Health Agency","Male","LGBO","85","80","27040","24920"
"In post","2022","Animal and Plant Health Agency","Male","Undeclared","160","150","34770","31450"
"In post","2022","Animal and Plant Health Agency","Male","Unknown","140","130","30680","26520"
"In post","2022","Animal and Plant Health Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Office","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","2630","2520","45450","40600"
"In post","2022","Cabinet Office (excl. agencies)","Female","LGBO","225","220","42230","39810"
"In post","2022","Cabinet Office (excl. agencies)","Female","Undeclared","245","240","45600","40600"
"In post","2022","Cabinet Office (excl. agencies)","Female","Unknown","2235","2205","44110","32000"
"In post","2022","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","2050","2030","50750","49700"
"In post","2022","Cabinet Office (excl. agencies)","Male","LGBO","290","290","46280","40600"
"In post","2022","Cabinet Office (excl. agencies)","Male","Undeclared","280","280","50250","49700"
"In post","2022","Cabinet Office (excl. agencies)","Male","Unknown","1975","1965","49930","38740"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Female","Heterosexual / straight","120","110","33370","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","175","160","31370","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Male","Heterosexual / straight","120","120","35700","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","180","175","36720","35900"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Female","Heterosexual / straight","150","140","35370","29160"
"In post","2022","Charity Commission","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Charity Commission","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Charity Commission","Female","Unknown","115","110","32300","29160"
"In post","2022","Charity Commission","Male","Heterosexual / straight","95","90","34300","29160"
"In post","2022","Charity Commission","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Male","Unknown","75","70","33830","29160"
"In post","2022","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Female","Heterosexual / straight","490","440","30380","24900"
"In post","2022","Companies House","Female","LGBO","20","15","[c]","[c]"
"In post","2022","Companies House","Female","Undeclared","40","35","28580","22740"
"In post","2022","Companies House","Female","Unknown","115","95","26950","22740"
"In post","2022","Companies House","Male","Heterosexual / straight","320","315","34320","31820"
"In post","2022","Companies House","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Companies House","Male","Undeclared","55","50","33440","27460"
"In post","2022","Companies House","Male","Unknown","120","115","28370","24500"
"In post","2022","Companies House","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Female","Heterosexual / straight","365","345","58570","55930"
"In post","2022","Competition and Markets Authority","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Female","Undeclared","35","35","56720","54320"
"In post","2022","Competition and Markets Authority","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Male","Heterosexual / straight","340","335","63380","59140"
"In post","2022","Competition and Markets Authority","Male","LGBO","45","45","63180","58060"
"In post","2022","Competition and Markets Authority","Male","Undeclared","35","35","69740","67890"
"In post","2022","Competition and Markets Authority","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Female","Heterosexual / straight","120","110","28960","25120"
"In post","2022","Criminal Injuries Compensation Authority","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Female","Undeclared","15","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Female","Unknown","35","30","25980","21490"
"In post","2022","Criminal Injuries Compensation Authority","Male","Heterosexual / straight","75","75","27290","25120"
"In post","2022","Criminal Injuries Compensation Authority","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Male","Unknown","45","45","25830","25120"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Female","Heterosexual / straight","335","320","39140","38330"
"In post","2022","Crown Commercial Service","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Female","Unknown","65","65","39030","38330"
"In post","2022","Crown Commercial Service","Male","Heterosexual / straight","265","265","42250","38980"
"In post","2022","Crown Commercial Service","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Crown Commercial Service","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Male","Unknown","75","70","38530","32040"
"In post","2022","Crown Commercial Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Female","Heterosexual / straight","1465","1355","35690","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Female","LGBO","65","60","30820","27230"
"In post","2022","Crown Office and Procurator Fiscal Service","Female","Undeclared","75","70","38380","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Female","Unknown","70","65","45350","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Male","Heterosexual / straight","555","540","37770","31540"
"In post","2022","Crown Office and Procurator Fiscal Service","Male","LGBO","50","50","36170","28460"
"In post","2022","Crown Office and Procurator Fiscal Service","Male","Undeclared","40","40","43890","40940"
"In post","2022","Crown Office and Procurator Fiscal Service","Male","Unknown","35","35","44510","40180"
"In post","2022","Crown Office and Procurator Fiscal Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Female","Heterosexual / straight","3515","3240","39380","32790"
"In post","2022","Crown Prosecution Service","Female","LGBO","145","135","35280","26970"
"In post","2022","Crown Prosecution Service","Female","Undeclared","140","135","38410","30130"
"In post","2022","Crown Prosecution Service","Female","Unknown","930","800","42090","38000"
"In post","2022","Crown Prosecution Service","Male","Heterosexual / straight","1630","1590","44450","48080"
"In post","2022","Crown Prosecution Service","Male","LGBO","145","140","42770","38180"
"In post","2022","Crown Prosecution Service","Male","Undeclared","85","80","41880","44660"
"In post","2022","Crown Prosecution Service","Male","Unknown","460","445","46900","53050"
"In post","2022","Crown Prosecution Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Female","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Female","Undeclared","40","40","27290","25830"
"In post","2022","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Male","Heterosexual / straight","120","120","28850","26710"
"In post","2022","Defence Electronics and Components Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Male","Undeclared","235","225","30010","29470"
"In post","2022","Defence Electronics and Components Agency","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Female","Heterosexual / straight","2995","2785","34570","32100"
"In post","2022","Defence Equipment and Support","Female","LGBO","110","110","30640","28410"
"In post","2022","Defence Equipment and Support","Female","Undeclared","380","355","36300","33940"
"In post","2022","Defence Equipment and Support","Female","Unknown","235","215","32090","30120"
"In post","2022","Defence Equipment and Support","Male","Heterosexual / straight","5580","5480","38090","36020"
"In post","2022","Defence Equipment and Support","Male","LGBO","180","180","34740","33050"
"In post","2022","Defence Equipment and Support","Male","Undeclared","785","760","40130","39420"
"In post","2022","Defence Equipment and Support","Male","Unknown","480","470","34480","32070"
"In post","2022","Defence Equipment and Support","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Female","Heterosexual / straight","360","340","40500","38460"
"In post","2022","Defence Science and Technology Laboratory","Female","LGBO","60","55","34080","29230"
"In post","2022","Defence Science and Technology Laboratory","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Female","Unknown","1215","1130","38400","38070"
"In post","2022","Defence Science and Technology Laboratory","Male","Heterosexual / straight","600","585","42460","40580"
"In post","2022","Defence Science and Technology Laboratory","Male","LGBO","55","55","36630","32830"
"In post","2022","Defence Science and Technology Laboratory","Male","Undeclared","45","45","42950","47010"
"In post","2022","Defence Science and Technology Laboratory","Male","Unknown","2295","2240","42490","42020"
"In post","2022","Defence Science and Technology Laboratory","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
