"Status","Year","Age","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA/AO","Heterosexual / straight","390","375","21440","21260"
"In post","2022","16-19","Declared non-disabled","AA/AO","LGBO","35","35","22790","21760"
"In post","2022","16-19","Declared non-disabled","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","AA/AO","Unknown","40","40","20190","21300"
"In post","2022","16-19","Declared non-disabled","EO","Heterosexual / straight","145","145","24100","25000"
"In post","2022","16-19","Declared non-disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Heterosexual / straight","40","40","21380","21260"
"In post","2022","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Unknown","325","305","21570","21250"
"In post","2022","16-19","Unknown","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Unknown","100","100","22560","24710"
"In post","2022","16-19","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","45","45","17940","16720"
"In post","2022","20-29","Declared disabled","AA/AO","Heterosexual / straight","1115","1075","22510","21260"
"In post","2022","20-29","Declared disabled","AA/AO","LGBO","395","385","22470","21260"
"In post","2022","20-29","Declared disabled","AA/AO","Undeclared","125","120","22720","21260"
"In post","2022","20-29","Declared disabled","AA/AO","Unknown","65","60","22850","21510"
"In post","2022","20-29","Declared disabled","EO","Heterosexual / straight","1170","1150","27440","27570"
"In post","2022","20-29","Declared disabled","EO","LGBO","360","360","27430","27570"
"In post","2022","20-29","Declared disabled","EO","Undeclared","130","125","27330","27570"
"In post","2022","20-29","Declared disabled","EO","Unknown","65","65","27700","27540"
"In post","2022","20-29","Declared disabled","G6/G7","Heterosexual / straight","220","220","54520","53420"
"In post","2022","20-29","Declared disabled","G6/G7","LGBO","85","85","53560","53370"
"In post","2022","20-29","Declared disabled","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SEO/HEO","Heterosexual / straight","1070","1065","34880","33570"
"In post","2022","20-29","Declared disabled","SEO/HEO","LGBO","395","385","34600","33870"
"In post","2022","20-29","Declared disabled","SEO/HEO","Undeclared","130","130","34350","33370"
"In post","2022","20-29","Declared disabled","SEO/HEO","Unknown","55","55","33650","33220"
"In post","2022","20-29","Declared disabled","Unknown","Heterosexual / straight","270","265","26270","24800"
"In post","2022","20-29","Declared disabled","Unknown","LGBO","80","80","24870","23170"
"In post","2022","20-29","Declared disabled","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","AA/AO","Heterosexual / straight","12930","12600","23010","21490"
"In post","2022","20-29","Declared non-disabled","AA/AO","LGBO","1395","1370","22890","21260"
"In post","2022","20-29","Declared non-disabled","AA/AO","Undeclared","625","605","22700","21260"
"In post","2022","20-29","Declared non-disabled","AA/AO","Unknown","725","705","21720","21300"
"In post","2022","20-29","Declared non-disabled","EO","Heterosexual / straight","11925","11795","27250","27500"
"In post","2022","20-29","Declared non-disabled","EO","LGBO","1080","1075","27180","27540"
"In post","2022","20-29","Declared non-disabled","EO","Undeclared","630","620","27130","27500"
"In post","2022","20-29","Declared non-disabled","EO","Unknown","555","550","26770","27130"
"In post","2022","20-29","Declared non-disabled","G6/G7","Heterosexual / straight","2430","2425","54870","54110"
"In post","2022","20-29","Declared non-disabled","G6/G7","LGBO","370","365","55190","54110"
"In post","2022","20-29","Declared non-disabled","G6/G7","Undeclared","180","180","55440","54700"
"In post","2022","20-29","Declared non-disabled","G6/G7","Unknown","70","70","52220","53100"
