"Status","Year","Age","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","AA/AO","Female","Heterosexual / straight","250","245","21500","21250"
"In post","2022","16-19","AA/AO","Female","LGBO","30","30","[c]","[c]"
"In post","2022","16-19","AA/AO","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","16-19","AA/AO","Female","Unknown","175","165","21490","21250"
"In post","2022","16-19","AA/AO","Male","Heterosexual / straight","210","200","21300","21260"
"In post","2022","16-19","AA/AO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","16-19","AA/AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","AA/AO","Male","Unknown","190","180","21380","21250"
"In post","2022","16-19","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","EO","Female","Heterosexual / straight","75","75","24950","25480"
"In post","2022","16-19","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","EO","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","EO","Female","Unknown","35","35","25270","25000"
"In post","2022","16-19","EO","Male","Heterosexual / straight","105","105","23080","24300"
"In post","2022","16-19","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","EO","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","EO","Male","Unknown","70","70","21220","18030"
"In post","2022","16-19","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Female","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Male","Unknown","30","30","17850","16720"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","AA/AO","Female","Heterosexual / straight","8205","7885","22610","21260"
"In post","2022","20-29","AA/AO","Female","LGBO","1270","1240","22980","21300"
"In post","2022","20-29","AA/AO","Female","Undeclared","605","575","22710","21300"
"In post","2022","20-29","AA/AO","Female","Unknown","4135","3975","22520","21300"
"In post","2022","20-29","AA/AO","Male","Heterosexual / straight","7185","7105","23380","21680"
"In post","2022","20-29","AA/AO","Male","LGBO","750","740","22360","21260"
"In post","2022","20-29","AA/AO","Male","Undeclared","460","450","23330","21260"
"In post","2022","20-29","AA/AO","Male","Unknown","3955","3900","22850","21410"
"In post","2022","20-29","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","EO","Female","Heterosexual / straight","8725","8585","27490","27570"
"In post","2022","20-29","EO","Female","LGBO","985","975","27390","27570"
"In post","2022","20-29","EO","Female","Undeclared","650","635","27440","27270"
"In post","2022","20-29","EO","Female","Unknown","2815","2770","27270","26950"
"In post","2022","20-29","EO","Male","Heterosexual / straight","6230","6205","27310","27390"
"In post","2022","20-29","EO","Male","LGBO","735","725","27210","27540"
"In post","2022","20-29","EO","Male","Undeclared","530","530","27400","27270"
"In post","2022","20-29","EO","Male","Unknown","2490","2480","27120","26820"
"In post","2022","20-29","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G6/G7","Female","Heterosexual / straight","1755","1750","54390","53380"
"In post","2022","20-29","G6/G7","Female","LGBO","225","220","54180","53380"
"In post","2022","20-29","G6/G7","Female","Undeclared","220","220","55050","53380"
"In post","2022","20-29","G6/G7","Female","Unknown","495","495","55330","54600"
"In post","2022","20-29","G6/G7","Male","Heterosexual / straight","1345","1340","55100","54110"
"In post","2022","20-29","G6/G7","Male","LGBO","305","305","55430","54110"
"In post","2022","20-29","G6/G7","Male","Undeclared","205","205","55070","53380"
"In post","2022","20-29","G6/G7","Male","Unknown","490","490","56070","54700"
"In post","2022","20-29","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SEO/HEO","Female","Heterosexual / straight","8425","8365","35020","33840"
"In post","2022","20-29","SEO/HEO","Female","LGBO","1105","1095","34790","33570"
"In post","2022","20-29","SEO/HEO","Female","Undeclared","840","840","35080","33630"
"In post","2022","20-29","SEO/HEO","Female","Unknown","3535","3520","33640","33080"
"In post","2022","20-29","SEO/HEO","Male","Heterosexual / straight","6440","6425","35060","33710"
"In post","2022","20-29","SEO/HEO","Male","LGBO","980","975","35420","34550"
"In post","2022","20-29","SEO/HEO","Male","Undeclared","770","765","35270","33880"
"In post","2022","20-29","SEO/HEO","Male","Unknown","3445","3435","34030","33250"
"In post","2022","20-29","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Female","Heterosexual / straight","2020","1990","26100","24090"
"In post","2022","20-29","Unknown","Female","LGBO","230","230","25020","23170"
"In post","2022","20-29","Unknown","Female","Undeclared","100","100","25330","24090"
"In post","2022","20-29","Unknown","Female","Unknown","715","695","24670","24090"
"In post","2022","20-29","Unknown","Male","Heterosexual / straight","585","580","26610","26810"
"In post","2022","20-29","Unknown","Male","LGBO","75","75","24550","23170"
"In post","2022","20-29","Unknown","Male","Undeclared","35","35","28830","28370"
"In post","2022","20-29","Unknown","Male","Unknown","485","480","27340","26110"
"In post","2022","20-29","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
