"Status","Year","Parent_department","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Female","Heterosexual / straight","50","50","42770","39750"
"In post","2022","Attorney General's Departments","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
