"Status","Year","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Heterosexual / straight","40655","37305","32410","27570"
"In post","2022","Declared disabled","LGBO","4875","4695","33310","29290"
"In post","2022","Declared disabled","Undeclared","5550","5035","31920","27570"
"In post","2022","Declared disabled","Unknown","3535","3105","30600","27570"
"In post","2022","Declared non-disabled","Heterosexual / straight","264620","248935","34980","30520"
"In post","2022","Declared non-disabled","LGBO","14535","14160","35420","30820"
"In post","2022","Declared non-disabled","Undeclared","23230","21405","34340","29730"
"In post","2022","Declared non-disabled","Unknown","32305","28740","32630","27570"
"In post","2022","Undeclared","Heterosexual / straight","12575","11780","33060","29720"
"In post","2022","Undeclared","LGBO","1135","1105","33590","30350"
"In post","2022","Undeclared","Undeclared","10530","9920","35700","32320"
"In post","2022","Undeclared","Unknown","3250","2900","31520","31650"
"In post","2022","Unknown","Heterosexual / straight","21390","20405","37380","33990"
"In post","2022","Unknown","LGBO","1495","1470","36240","32790"
"In post","2022","Unknown","Undeclared","3935","3770","41720","37560"
"In post","2022","Unknown","Unknown","66455","63355","33770","28920"
"Leaver CS","2022","Declared disabled","Heterosexual / straight","2930","[c]","30250","27570"
"Leaver CS","2022","Declared disabled","LGBO","440","[c]","30590","27570"
"Leaver CS","2022","Declared disabled","Undeclared","440","[c]","30200","27470"
"Leaver CS","2022","Declared disabled","Unknown","665","[c]","31540","27570"
"Leaver CS","2022","Declared non-disabled","Heterosexual / straight","18705","[c]","33580","27570"
"Leaver CS","2022","Declared non-disabled","LGBO","1210","[c]","32250","27570"
"Leaver CS","2022","Declared non-disabled","Undeclared","1775","[c]","33060","27570"
"Leaver CS","2022","Declared non-disabled","Unknown","4540","[c]","32490","27570"
"Leaver CS","2022","Undeclared","Heterosexual / straight","930","[c]","30080","27550"
"Leaver CS","2022","Undeclared","LGBO","110","[c]","32560","27570"
"Leaver CS","2022","Undeclared","Undeclared","670","[c]","35620","31890"
"Leaver CS","2022","Undeclared","Unknown","525","[c]","32790","27570"
"Leaver CS","2022","Unknown","Heterosexual / straight","1555","[c]","36490","32640"
"Leaver CS","2022","Unknown","LGBO","100","[c]","34110","27900"
"Leaver CS","2022","Unknown","Undeclared","710","[c]","39530","36080"
"Leaver CS","2022","Unknown","Unknown","8920","[c]","33180","27570"
"Leaver Dept.","2022","Declared disabled","Heterosexual / straight","1250","[c]","36020","31060"
"Leaver Dept.","2022","Declared disabled","LGBO","255","[c]","33370","29200"
"Leaver Dept.","2022","Declared disabled","Undeclared","170","[c]","35350","32160"
"Leaver Dept.","2022","Declared disabled","Unknown","185","[c]","39120","33970"
"Leaver Dept.","2022","Declared non-disabled","Heterosexual / straight","11185","[c]","37880","32330"
"Leaver Dept.","2022","Declared non-disabled","LGBO","870","[c]","38070","33570"
"Leaver Dept.","2022","Declared non-disabled","Undeclared","915","[c]","38480","32330"
"Leaver Dept.","2022","Declared non-disabled","Unknown","1450","[c]","39470","32070"
"Leaver Dept.","2022","Undeclared","Heterosexual / straight","385","[c]","34470","31060"
"Leaver Dept.","2022","Undeclared","LGBO","60","[c]","36250","34020"
"Leaver Dept.","2022","Undeclared","Undeclared","315","[c]","38410","34980"
"Leaver Dept.","2022","Undeclared","Unknown","100","[c]","35010","31060"
"Leaver Dept.","2022","Unknown","Heterosexual / straight","1185","[c]","42840","37470"
"Leaver Dept.","2022","Unknown","LGBO","100","[c]","41810","36350"
"Leaver Dept.","2022","Unknown","Undeclared","1315","[c]","47790","40610"
"Leaver Dept.","2022","Unknown","Unknown","3925","[c]","40570","33370"
"New entrant CS","2022","Declared disabled","Heterosexual / straight","3795","[c]","29140","27230"
"New entrant CS","2022","Declared disabled","LGBO","885","[c]","28060","26590"
"New entrant CS","2022","Declared disabled","Undeclared","370","[c]","30350","27570"
"New entrant CS","2022","Declared disabled","Unknown","175","[c]","30080","27130"
"New entrant CS","2022","Declared non-disabled","Heterosexual / straight","31005","[c]","29750","27070"
"New entrant CS","2022","Declared non-disabled","LGBO","2780","[c]","29260","26590"
"New entrant CS","2022","Declared non-disabled","Undeclared","1625","[c]","30590","27570"
"New entrant CS","2022","Declared non-disabled","Unknown","1495","[c]","26590","22600"
"New entrant CS","2022","Undeclared","Heterosexual / straight","1130","[c]","29340","27570"
"New entrant CS","2022","Undeclared","LGBO","190","[c]","27540","26370"
"New entrant CS","2022","Undeclared","Undeclared","505","[c]","32490","29520"
"New entrant CS","2022","Undeclared","Unknown","45","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Heterosexual / straight","3620","[c]","32360","28840"
"New entrant CS","2022","Unknown","LGBO","375","[c]","30700","27620"
"New entrant CS","2022","Unknown","Undeclared","860","[c]","35290","32770"
"New entrant CS","2022","Unknown","Unknown","20535","[c]","29110","26310"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
