"Status","Year","Age","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","60","55","22770","21260"
"In post","2022","16-19","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","15","10","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Grants Management","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","No function","250","240","21900","21250"
"In post","2022","16-19","Unknown","Project Delivery","50","50","17510","17140"
"In post","2022","16-19","Unknown","Property","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Security","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","100","100","21350","21260"
"In post","2022","16-19","White","Analysis","25","25","[c]","[c]"
"In post","2022","16-19","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Communications","5","5","[c]","[c]"
"In post","2022","16-19","White","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","White","Debt","20","20","[c]","[c]"
"In post","2022","16-19","White","Digital, Data & Technology","15","15","[c]","[c]"
"In post","2022","16-19","White","Finance","20","20","[c]","[c]"
"In post","2022","16-19","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Human Resources","10","10","[c]","[c]"
"In post","2022","16-19","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Legal","30","30","21850","22200"
"In post","2022","16-19","White","No function","345","330","21950","21260"
"In post","2022","16-19","White","Project Delivery","55","55","19270","18030"
"In post","2022","16-19","White","Property","20","20","[c]","[c]"
"In post","2022","16-19","White","Security","10","10","[c]","[c]"
"In post","2022","16-19","White","Unknown","50","50","22180","21220"
"In post","2022","20-29","Asian","Analysis","265","260","36010","34090"
"In post","2022","20-29","Asian","Commercial","80","75","34190","33000"
"In post","2022","20-29","Asian","Communications","240","240","28510","26820"
"In post","2022","20-29","Asian","Counter Fraud","205","205","28830","27570"
"In post","2022","20-29","Asian","Debt","185","175","22030","21250"
"In post","2022","20-29","Asian","Digital, Data & Technology","250","250","33290","31990"
"In post","2022","20-29","Asian","Finance","220","220","32610","30480"
"In post","2022","20-29","Asian","Grants Management","5","5","[c]","[c]"
"In post","2022","20-29","Asian","Human Resources","130","130","31200","28160"
"In post","2022","20-29","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2022","20-29","Asian","Legal","190","190","31440","26950"
"In post","2022","20-29","Asian","No function","4145","4055","29190","27570"
"In post","2022","20-29","Asian","Project Delivery","215","210","33100","31800"
"In post","2022","20-29","Asian","Property","75","70","30740","29500"
"In post","2022","20-29","Asian","Security","35","35","31190","29970"
"In post","2022","20-29","Asian","Unknown","660","640","29820","28650"
"In post","2022","20-29","Black","Analysis","70","70","34280","33390"
"In post","2022","20-29","Black","Commercial","30","30","36190","33000"
"In post","2022","20-29","Black","Communications","55","55","30870","27270"
"In post","2022","20-29","Black","Counter Fraud","55","55","30110","28430"
"In post","2022","20-29","Black","Debt","25","25","[c]","[c]"
"In post","2022","20-29","Black","Digital, Data & Technology","80","80","34720","32590"
"In post","2022","20-29","Black","Finance","45","45","31930","31060"
"In post","2022","20-29","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Human Resources","50","50","30220","27850"
"In post","2022","20-29","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Black","Legal","90","90","29090","26950"
"In post","2022","20-29","Black","No function","1585","1560","29980","29740"
"In post","2022","20-29","Black","Project Delivery","70","70","34090","31010"
"In post","2022","20-29","Black","Property","15","15","[c]","[c]"
"In post","2022","20-29","Black","Security","15","15","[c]","[c]"
"In post","2022","20-29","Black","Unknown","180","175","31380","28710"
"In post","2022","20-29","Mixed","Analysis","100","100","35470","33710"
"In post","2022","20-29","Mixed","Commercial","30","30","[c]","[c]"
"In post","2022","20-29","Mixed","Communications","65","65","31970","28500"
"In post","2022","20-29","Mixed","Counter Fraud","60","60","31690","30750"
"In post","2022","20-29","Mixed","Debt","15","15","[c]","[c]"
"In post","2022","20-29","Mixed","Digital, Data & Technology","80","75","33510","33080"
