"Status","Year","Function_of_post","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","EO","10","10","28770","28230"
"In post","2022","Analysis","Chancellor's other departments","London","G6","90","80","92330","88150"
"In post","2022","Analysis","Chancellor's other departments","London","G7","30","30","56950","57250"
"In post","2022","Analysis","Chancellor's other departments","London","HEO","40","40","37470","36590"
"In post","2022","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","SEO","20","20","47030","48300"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","G6","30","30","76040","74810"
"In post","2022","Analysis","Competition and Markets Authority","London","G7","50","50","57060","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","HEO","20","20","34170","33610"
"In post","2022","Analysis","Competition and Markets Authority","London","SCS level","15","15","107830","97750"
"In post","2022","Analysis","Competition and Markets Authority","London","SEO","10","10","44700","43880"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East of England","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","EO","30","30","28550","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","G6","20","20","71270","69240"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","G7","55","55","57890","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","HEO","125","125","35880","34690"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","SEO","20","20","45340","46010"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","EO","15","15","27200","24030"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","HEO","20","20","32430","31610"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","SEO","15","15","42480","42070"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","G6","15","15","64720","63140"
