"Status","Year","Ethnicity","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Counter Fraud","London","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Finance","London","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Finance","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Human Resources","London","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Legal","London","350","325","56640","53050"
"In post","2022","Asian","Attorney General's Departments","Legal","Outside London","215","200","50560","49960"
"In post","2022","Asian","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","London","155","140","26960","24590"
"In post","2022","Asian","Attorney General's Departments","Operational Delivery","Outside London","135","125","25270","23770"
"In post","2022","Asian","Attorney General's Departments","Other","London","75","75","30830","27070"
"In post","2022","Asian","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","London","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Project Delivery","London","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Commercial","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Finance","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
