"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Female","70","65","26820","26670"
"In post","2022","Declared disabled","Commercial","EO","Male","30","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","Female","35","35","52980","53360"
"In post","2022","Declared disabled","Commercial","G7","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","HEO","Female","85","80","32710","33170"
"In post","2022","Declared disabled","Commercial","HEO","Male","65","60","32590","32630"
"In post","2022","Declared disabled","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","SEO","Female","115","110","41020","40450"
"In post","2022","Declared disabled","Commercial","SEO","Male","85","80","42070","41950"
"In post","2022","Declared disabled","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Female","40","35","28080","27570"
"In post","2022","Declared disabled","Communications","EO","Male","30","30","[c]","[c]"
"In post","2022","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","Female","40","35","53910","53550"
"In post","2022","Declared disabled","Communications","G7","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","HEO","Female","50","50","33570","33000"
"In post","2022","Declared disabled","Communications","HEO","Male","35","35","34360","33900"
"In post","2022","Declared disabled","Communications","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","Female","45","40","42310","42060"
"In post","2022","Declared disabled","Communications","SEO","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AO","Female","150","120","22640","21520"
"In post","2022","Declared disabled","Counter Fraud","AO","Male","85","75","22240","21260"
"In post","2022","Declared disabled","Counter Fraud","AO","Unknown","[c]","[c]","[c]","[c]"
