"Status","Year","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","10","10","51300","53360"
"In post","2022","Analysis","Commercial","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","65","60","50220","48000"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","105","100","41020","40610"
"In post","2022","Analysis","Economics","London","1070","1045","49130","46250"
"In post","2022","Analysis","Economics","Outside London","300","290","38830","33370"
"In post","2022","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","40","40","49290","46250"
"In post","2022","Analysis","Finance","Outside London","20","20","39860","36200"
"In post","2022","Analysis","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Outside London","55","55","31070","33000"
"In post","2022","Analysis","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","London","25","25","46860","44820"
"In post","2022","Analysis","Human Resources","Outside London","10","10","37110","35450"
"In post","2022","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","London","35","35","52120","46940"
"In post","2022","Analysis","Intelligence Analysis","Outside London","75","70","33610","31610"
"In post","2022","Analysis","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","London","25","25","47700","44510"
"In post","2022","Analysis","Knowledge and Information Management","Outside London","15","15","38990","36050"
"In post","2022","Analysis","Medicine","London","10","10","53280","53360"
"In post","2022","Analysis","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","170","165","43300","39840"
"In post","2022","Analysis","Operational Delivery","Outside London","680","645","33340","30710"
"In post","2022","Analysis","Operational Research","London","260","250","51260","52310"
"In post","2022","Analysis","Operational Research","Outside London","455","435","40690","39470"
"In post","2022","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Other","London","335","315","58420","53720"
"In post","2022","Analysis","Other","Outside London","50","50","46350","38000"
"In post","2022","Analysis","Policy","London","350","335","51940","53360"
"In post","2022","Analysis","Policy","Outside London","220","205","44210","42100"
"In post","2022","Analysis","Policy","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Project Delivery","London","5","5","[c]","[c]"
"In post","2022","Analysis","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","London","45","40","60310","61370"
"In post","2022","Analysis","Science and Engineering","Outside London","660","630","36000","32790"
"In post","2022","Analysis","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","London","375","365","46740","42460"
"In post","2022","Analysis","Social Research","Outside London","710","675","39200","38340"
"In post","2022","Analysis","Statistics","London","840","815","47890","43490"
"In post","2022","Analysis","Statistics","Outside London","1225","1180","41310","38340"
"In post","2022","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","London","80","75","45570","43430"
"In post","2022","Analysis","Unknown","Outside London","70","70","36420","33080"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Commercial","London","730","715","46600","42470"
"In post","2022","Commercial","Commercial","Outside London","3295","3180","37810","36500"
"In post","2022","Commercial","Commercial","Overseas","40","40","49150","43300"
"In post","2022","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","London","10","10","[c]","[c]"
"In post","2022","Commercial","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Finance","London","20","20","42500","40650"
"In post","2022","Commercial","Finance","Outside London","30","30","37410","30450"
"In post","2022","Commercial","Human Resources","London","5","5","[c]","[c]"
"In post","2022","Commercial","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","London","215","215","52980","47940"
