"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Other","London","190","175","68440","64660"
"In post","2022","Analysis","Chancellor's other departments","Other","Outside London","15","15","67630","57250"
"In post","2022","Analysis","Competition and Markets Authority","Economics","London","95","90","64300","59890"
"In post","2022","Analysis","Competition and Markets Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","London","30","30","55030","54320"
"In post","2022","Analysis","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","15","15","38340","36480"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","London","170","170","41510","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Economics","Outside London","15","15","40530","39570"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","London","15","15","47770","46050"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Outside London","35","35","34020","32100"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","London","15","15","55780","57000"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","London","20","20","56220","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Science and Engineering","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","London","30","30","47080","42360"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","Outside London","25","25","37460","36240"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","London","75","70","48560","53230"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","London","10","10","50800","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","London","20","20","47840","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","London","20","20","43550","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","London","30","30","49580","45250"
"In post","2022","Analysis","Department for Education","Digital, Data and Technology","Outside London","65","60","40640","41990"
"In post","2022","Analysis","Department for Education","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Policy","London","40","35","48500","46840"
"In post","2022","Analysis","Department for Education","Policy","Outside London","70","65","43700","42220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","45","45","30370","29180"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","465","445","34230","30220"
"In post","2022","Analysis","Department for International Trade","Economics","London","145","145","44230","40330"
"In post","2022","Analysis","Department for International Trade","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Other","London","15","15","39710","32120"
"In post","2022","Analysis","Department for International Trade","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Policy","London","10","10","50460","47870"
"In post","2022","Analysis","Department for International Trade","Social Research","London","20","20","43020","32430"
"In post","2022","Analysis","Department for International Trade","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Statistics","London","50","50","44730","41530"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Economics","London","60","55","48610","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","London","30","30","50660","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","London","110","110","47460","42980"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Statistics","Outside London","25","25","38480","30320"
"In post","2022","Analysis","Department for Transport","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Economics","London","145","145","48530","54110"
"In post","2022","Analysis","Department for Transport","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Operational Research","London","15","15","48980","54110"
"In post","2022","Analysis","Department for Transport","Operational Research","Outside London","65","60","30840","26780"
"In post","2022","Analysis","Department for Transport","Other","London","40","35","50720","54110"
"In post","2022","Analysis","Department for Transport","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Social Research","London","45","45","48980","46710"
"In post","2022","Analysis","Department for Transport","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Statistics","London","70","70","44730","42470"
"In post","2022","Analysis","Department for Transport","Statistics","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Economics","London","25","25","42850","37380"
"In post","2022","Analysis","Department for Work and Pensions","Economics","Outside London","20","20","38140","31990"
"In post","2022","Analysis","Department for Work and Pensions","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","Outside London","10","10","35880","35310"
"In post","2022","Analysis","Department for Work and Pensions","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Delivery","Outside London","30","25","40580","31990"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Operational Research","Outside London","10","10","33320","31000"
"In post","2022","Analysis","Department for Work and Pensions","Policy","London","110","105","48740","41240"
"In post","2022","Analysis","Department for Work and Pensions","Policy","Outside London","125","115","44300","40260"
"In post","2022","Analysis","Department for Work and Pensions","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Social Research","London","25","25","36150","35000"
"In post","2022","Analysis","Department for Work and Pensions","Social Research","Outside London","15","15","33770","31250"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","London","45","40","51670","45050"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","Outside London","155","150","43390","36780"
"In post","2022","Analysis","Department for Work and Pensions","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","London","20","20","37540","25110"
