"Status","Year","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Female","55","55","42230","39750"
"In post","2022","Attorney General's Departments","Communications","Male","35","35","38580","33310"
"In post","2022","Attorney General's Departments","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Female","95","90","42210","33380"
"In post","2022","Attorney General's Departments","Counter Fraud","Male","150","145","49470","42310"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Female","75","70","37850","34760"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Male","100","100","42970","40170"
"In post","2022","Attorney General's Departments","Finance","Female","125","110","30110","26970"
"In post","2022","Attorney General's Departments","Finance","Male","95","90","34270","26970"
"In post","2022","Attorney General's Departments","Human Resources","Female","180","175","37550","31560"
"In post","2022","Attorney General's Departments","Human Resources","Male","70","65","35980","30720"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Female","30","30","41120","30970"
"In post","2022","Attorney General's Departments","Knowledge and Information Management","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Legal","Female","3465","3125","56030","54200"
"In post","2022","Attorney General's Departments","Legal","Male","1980","1925","58240","55610"
"In post","2022","Attorney General's Departments","Operational Delivery","Female","2145","1945","26900","25480"
"In post","2022","Attorney General's Departments","Operational Delivery","Male","750","735","27530","25480"
"In post","2022","Attorney General's Departments","Other","Female","310","295","33320","27580"
"In post","2022","Attorney General's Departments","Other","Male","185","180","35310","30110"
"In post","2022","Attorney General's Departments","Policy","Female","75","70","51300","54760"
"In post","2022","Attorney General's Departments","Policy","Male","40","40","49970","51340"
"In post","2022","Attorney General's Departments","Project Delivery","Female","60","55","38540","34170"
"In post","2022","Attorney General's Departments","Project Delivery","Male","40","40","41170","38180"
"In post","2022","Attorney General's Departments","Property","Female","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","Male","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","Female","185","180","34990","32000"
"In post","2022","Cabinet Office","Commercial","Male","165","165","36790","38330"
"In post","2022","Cabinet Office","Communications","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Communications","Male","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","Female","55","50","47290","50240"
"In post","2022","Cabinet Office","Digital, Data and Technology","Male","100","95","45760","41420"
