"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","AA/AO","15","15","19060","19380"
"In post","2022","16-19","Digital, Data and Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","EO","15","15","25610","24300"
"In post","2022","16-19","Economics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2022","16-19","Finance","Outside London","EO","20","20","20500","19460"
"In post","2022","16-19","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Outside London","AA/AO","10","10","20870","21190"
"In post","2022","16-19","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","AA/AO","35","30","23840","23720"
"In post","2022","16-19","Operational Delivery","London","EO","10","10","28710","28650"
"In post","2022","16-19","Operational Delivery","Outside London","AA/AO","560","530","21420","21250"
"In post","2022","16-19","Operational Delivery","Outside London","EO","50","50","26080","26050"
"In post","2022","16-19","Operational Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Outside London","AA/AO","35","35","21240","21260"
"In post","2022","16-19","Other","Outside London","EO","25","25","20290","18030"
"In post","2022","16-19","Other","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Policy","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","London","EO","20","20","25810","25170"
"In post","2022","16-19","Policy","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Policy","Outside London","EO","15","15","24750","25000"
"In post","2022","16-19","Policy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Property","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Outside London","EO","15","15","25580","26030"
"In post","2022","16-19","Property","Outside London","Unknown","15","15","19130","16630"
"In post","2022","16-19","Science and Engineering","Outside London","AA/AO","35","35","19070","19450"
"In post","2022","16-19","Science and Engineering","Outside London","EO","60","60","18210","17140"
"In post","2022","16-19","Science and Engineering","Outside London","Unknown","20","20","18070","17140"
"In post","2022","16-19","Security","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Outside London","AA/AO","60","55","21250","21250"
"In post","2022","16-19","Tax","Outside London","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","London","EO","15","15","26370","27500"
"In post","2022","16-19","Unknown","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Outside London","AA/AO","70","65","21500","21050"
"In post","2022","16-19","Unknown","Outside London","EO","15","15","26370","27230"
"In post","2022","16-19","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Veterinarian","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","London","AA/AO","15","15","22950","23170"
"In post","2022","20-29","Commercial","London","EO","40","40","27840","27270"
"In post","2022","20-29","Commercial","London","G6/G7","60","60","55520","53360"
"In post","2022","20-29","Commercial","London","SEO/HEO","150","150","37790","39310"
"In post","2022","20-29","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Outside London","AA/AO","55","50","21500","21260"
"In post","2022","20-29","Commercial","Outside London","EO","265","265","25230","25970"
"In post","2022","20-29","Commercial","Outside London","G6/G7","15","15","51590","49860"
"In post","2022","20-29","Commercial","Outside London","SEO/HEO","425","420","33410","33000"
"In post","2022","20-29","Commercial","Outside London","Unknown","30","30","27610","27280"
"In post","2022","20-29","Commercial","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","London","AA/AO","35","35","23500","23560"
"In post","2022","20-29","Communications","London","EO","135","130","27940","27270"
"In post","2022","20-29","Communications","London","G6/G7","85","85","56060","53420"
"In post","2022","20-29","Communications","London","SEO/HEO","390","390","37490","36850"
"In post","2022","20-29","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","AA/AO","30","30","21550","21250"
"In post","2022","20-29","Communications","Outside London","EO","70","70","26100","26130"
"In post","2022","20-29","Communications","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Communications","Outside London","SEO/HEO","135","135","33250","32380"
"In post","2022","20-29","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","AA/AO","65","65","25080","25110"
"In post","2022","20-29","Counter Fraud","London","EO","50","45","29710","31060"
"In post","2022","20-29","Counter Fraud","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","SEO/HEO","35","35","36090","35570"
"In post","2022","20-29","Counter Fraud","Outside London","AA/AO","125","125","21770","21260"
"In post","2022","20-29","Counter Fraud","Outside London","EO","310","305","27540","27570"
"In post","2022","20-29","Counter Fraud","Outside London","SEO/HEO","60","60","32790","31990"
"In post","2022","20-29","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","London","AA/AO","25","25","23480","23800"
"In post","2022","20-29","Digital, Data and Technology","London","EO","155","150","28890","28650"
"In post","2022","20-29","Digital, Data and Technology","London","G6/G7","105","105","57060","54270"
"In post","2022","20-29","Digital, Data and Technology","London","SEO/HEO","455","450","38590","38050"
"In post","2022","20-29","Digital, Data and Technology","Outside London","AA/AO","160","160","20890","21170"
"In post","2022","20-29","Digital, Data and Technology","Outside London","EO","750","745","26760","26590"
"In post","2022","20-29","Digital, Data and Technology","Outside London","G6/G7","140","140","52700","50430"
"In post","2022","20-29","Digital, Data and Technology","Outside London","SEO/HEO","1135","1130","35000","33370"
"In post","2022","20-29","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","London","AA/AO","35","30","23960","22750"
"In post","2022","20-29","Economics","London","EO","80","80","27270","27680"
"In post","2022","20-29","Economics","London","G6/G7","240","240","56030","54760"
"In post","2022","20-29","Economics","London","SEO/HEO","585","585","35270","34320"
"In post","2022","20-29","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Outside London","AA/AO","35","35","20110","19860"
"In post","2022","20-29","Economics","Outside London","EO","25","25","25820","26040"
"In post","2022","20-29","Economics","Outside London","G6/G7","30","30","51890","50550"
"In post","2022","20-29","Economics","Outside London","SEO/HEO","135","135","33480","31440"
"In post","2022","20-29","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","Unknown","EO","[c]","[c]","[c]","[c]"
