"Status","Year","Disability","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","EO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","AO","45","40","23580","23770"
"In post","2022","Declared disabled","Attorney General's Departments","London","EO","80","75","29240","29290"
"In post","2022","Declared disabled","Attorney General's Departments","London","G6","75","65","69540","67790"
"In post","2022","Declared disabled","Attorney General's Departments","London","G7","155","145","57700","54080"
"In post","2022","Declared disabled","Attorney General's Departments","London","HEO","45","45","35840","35020"
"In post","2022","Declared disabled","Attorney General's Departments","London","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","London","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","AO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","EO","35","30","27610","28430"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","G7","55","50","54690","55610"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","EO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","G7","35","35","58950","62140"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","SEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","West Midlands (England)","AA","[c]","[c]","[c]","[c]"
