"Status","Year","Age","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","London","AA/AO","AA","10","5","21990","22350"
"In post","2022","16-19","London","AA/AO","AO","60","60","24620","24750"
"In post","2022","16-19","London","EO","EO","70","70","26630","26970"
"In post","2022","16-19","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","AA/AO","AA","220","205","19550","19450"
"In post","2022","16-19","Outside London","AA/AO","AO","600","580","21850","21260"
"In post","2022","16-19","Outside London","EO","EO","235","230","22550","23880"
"In post","2022","16-19","Outside London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Outside London","Unknown","Unknown","45","45","18760","18030"
"In post","2022","16-19","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","London","AA/AO","AA","240","230","22980","22460"
"In post","2022","20-29","London","AA/AO","AO","2115","2085","26540","25110"
"In post","2022","20-29","London","EO","EO","5500","5440","29370","28670"
"In post","2022","20-29","London","G6/G7","G6","285","285","65780","65440"
"In post","2022","20-29","London","G6/G7","G7","3520","3510","54890","54070"
"In post","2022","20-29","London","SCS level","SCS level","15","15","80110","73200"
"In post","2022","20-29","London","SEO/HEO","HEO","8370","8340","34010","33900"
"In post","2022","20-29","London","SEO/HEO","SEO","3475","3465","41530","41000"
"In post","2022","20-29","London","Unknown","Unknown","435","435","28740","27060"
"In post","2022","20-29","Outside London","AA/AO","AA","2730","2645","20610","20890"
"In post","2022","20-29","Outside London","AA/AO","AO","21435","20865","22790","21300"
"In post","2022","20-29","Outside London","EO","EO","17530","17345","26720","26820"
"In post","2022","20-29","Outside London","G6/G7","G6","75","75","64020","64000"
"In post","2022","20-29","Outside London","G6/G7","G7","1110","1105","51830","50430"
"In post","2022","20-29","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Outside London","SEO/HEO","HEO","9900","9840","31630","31660"
"In post","2022","20-29","Outside London","SEO/HEO","SEO","3280","3260","38950","38640"
"In post","2022","20-29","Outside London","Unknown","Unknown","3430","3365","25380","24090"
"In post","2022","20-29","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","AA/AO","AO","10","10","21470","21170"
"In post","2022","20-29","Overseas","EO","EO","25","25","27210","26540"
"In post","2022","20-29","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Overseas","G6/G7","G7","35","35","52140","51970"
"In post","2022","20-29","Overseas","SEO/HEO","HEO","210","210","33710","32930"
"In post","2022","20-29","Overseas","SEO/HEO","SEO","35","35","41160","39450"
"In post","2022","20-29","Overseas","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","AA/AO","AO","25","25","21590","21260"
"In post","2022","20-29","Unknown","EO","EO","100","100","27870","27570"
"In post","2022","20-29","Unknown","G6/G7","G7","15","15","53970","54700"
"In post","2022","20-29","Unknown","SEO/HEO","HEO","255","255","30400","29250"
"In post","2022","20-29","Unknown","SEO/HEO","SEO","20","20","39720","40600"
"In post","2022","20-29","Unknown","Unknown","Unknown","380","380","28260","28980"
"In post","2022","30-39","London","AA/AO","AA","210","195","23470","22900"
"In post","2022","30-39","London","AA/AO","AO","1575","1480","27870","25630"
"In post","2022","30-39","London","EO","EO","3800","3655","30250","30750"
"In post","2022","30-39","London","G6/G7","G6","3005","2920","67350","66000"
"In post","2022","30-39","London","G6/G7","G7","7050","6885","55800","54700"
"In post","2022","30-39","London","SCS level","SCS level","850","825","79660","75400"
"In post","2022","30-39","London","SEO/HEO","HEO","4130","4040","35670","35070"
"In post","2022","30-39","London","SEO/HEO","SEO","4055","3980","42530","41950"
"In post","2022","30-39","London","Unknown","Unknown","540","515","33390","34100"
"In post","2022","30-39","Outside London","AA/AO","AA","2330","2140","20550","20890"
"In post","2022","30-39","Outside London","AA/AO","AO","21205","19405","23270","21430"
"In post","2022","30-39","Outside London","EO","EO","22715","21550","27390","27230"
"In post","2022","30-39","Outside London","G6/G7","G6","1300","1260","66290","65280"
"In post","2022","30-39","Outside London","G6/G7","G7","6770","6575","52990","52080"
"In post","2022","30-39","Outside London","SCS level","SCS level","195","185","81210","76800"
"In post","2022","30-39","Outside London","SEO/HEO","HEO","15125","14635","32810","33080"
"In post","2022","30-39","Outside London","SEO/HEO","SEO","10655","10350","40510","40000"
"In post","2022","30-39","Outside London","Unknown","Unknown","4325","4010","29580","28200"
"In post","2022","30-39","Overseas","AA/AO","AO","10","10","21780","21170"
"In post","2022","30-39","Overseas","EO","EO","50","50","27350","26670"
"In post","2022","30-39","Overseas","G6/G7","G6","90","90","64250","64000"
"In post","2022","30-39","Overseas","G6/G7","G7","360","360","54390","54070"
"In post","2022","30-39","Overseas","SCS level","SCS level","25","25","77900","73910"
"In post","2022","30-39","Overseas","SEO/HEO","HEO","315","315","36110","34430"
"In post","2022","30-39","Overseas","SEO/HEO","SEO","125","125","42800","40660"
"In post","2022","30-39","Overseas","Unknown","Unknown","55","55","40410","36610"
"In post","2022","30-39","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","AA/AO","AO","30","25","22160","21260"
"In post","2022","30-39","Unknown","EO","EO","85","80","27990","27570"
"In post","2022","30-39","Unknown","G6/G7","G6","10","10","65710","65950"
"In post","2022","30-39","Unknown","G6/G7","G7","35","35","53110","53360"
"In post","2022","30-39","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","30-39","Unknown","SEO/HEO","HEO","65","65","33190","32000"
"In post","2022","30-39","Unknown","SEO/HEO","SEO","20","20","40190","40590"
"In post","2022","30-39","Unknown","Unknown","Unknown","410","405","37040","34460"
"In post","2022","40-49","London","AA/AO","AA","235","225","23320","22460"
