"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA/AO","Female","Heterosexual / straight","810","735","22700","22200"
"In post","2022","Attorney General's Departments","AA/AO","Female","LGBO","45","45","22240","22200"
"In post","2022","Attorney General's Departments","AA/AO","Female","Undeclared","40","40","22670","22200"
"In post","2022","Attorney General's Departments","AA/AO","Female","Unknown","210","175","22910","22200"
"In post","2022","Attorney General's Departments","AA/AO","Male","Heterosexual / straight","295","285","22780","22200"
"In post","2022","Attorney General's Departments","AA/AO","Male","LGBO","30","30","22290","22200"
"In post","2022","Attorney General's Departments","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","AA/AO","Male","Unknown","80","80","22850","22200"
"In post","2022","Attorney General's Departments","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","EO","Female","Heterosexual / straight","990","920","27670","27350"
"In post","2022","Attorney General's Departments","EO","Female","LGBO","65","60","27740","26970"
"In post","2022","Attorney General's Departments","EO","Female","Undeclared","50","50","27600","26970"
"In post","2022","Attorney General's Departments","EO","Female","Unknown","255","225","28320","28430"
"In post","2022","Attorney General's Departments","EO","Male","Heterosexual / straight","360","355","27800","27350"
"In post","2022","Attorney General's Departments","EO","Male","LGBO","40","40","27830","27440"
"In post","2022","Attorney General's Departments","EO","Male","Undeclared","30","30","28270","28430"
"In post","2022","Attorney General's Departments","EO","Male","Unknown","85","85","28280","28430"
"In post","2022","Attorney General's Departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","G6/G7","Female","Heterosexual / straight","2215","2010","56670","53850"
"In post","2022","Attorney General's Departments","G6/G7","Female","LGBO","85","80","58890","55610"
"In post","2022","Attorney General's Departments","G6/G7","Female","Undeclared","125","115","59380","55870"
"In post","2022","Attorney General's Departments","G6/G7","Female","Unknown","715","615","59520","58590"
"In post","2022","Attorney General's Departments","G6/G7","Male","Heterosexual / straight","1260","1230","58500","55610"
"In post","2022","Attorney General's Departments","G6/G7","Male","LGBO","120","115","59760","56030"
"In post","2022","Attorney General's Departments","G6/G7","Male","Undeclared","90","85","58740","55670"
"In post","2022","Attorney General's Departments","G6/G7","Male","Unknown","420","405","61790","60810"
"In post","2022","Attorney General's Departments","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Heterosexual / straight","130","120","86960","82500"
"In post","2022","Attorney General's Departments","SCS level","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Female","Unknown","40","40","89290","81010"
"In post","2022","Attorney General's Departments","SCS level","Male","Heterosexual / straight","80","80","90250","84600"
"In post","2022","Attorney General's Departments","SCS level","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO/HEO","Female","Heterosexual / straight","700","670","36130","36240"
"In post","2022","Attorney General's Departments","SEO/HEO","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO/HEO","Female","Undeclared","30","30","37060","38000"
"In post","2022","Attorney General's Departments","SEO/HEO","Female","Unknown","135","125","36560","36240"
"In post","2022","Attorney General's Departments","SEO/HEO","Male","Heterosexual / straight","405","400","36470","36870"
"In post","2022","Attorney General's Departments","SEO/HEO","Male","LGBO","40","40","36990","38090"
"In post","2022","Attorney General's Departments","SEO/HEO","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO/HEO","Male","Unknown","95","95","35590","34480"
"In post","2022","Attorney General's Departments","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
