"Status","Year","Age","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Male","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Female","25","25","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Male","10","10","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Female","20","20","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Male","85","85","18400","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","Female","5","5","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Female","80","75","23380","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Male","65","65","22700","21260"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Female","40","35","19090","18310"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Male","30","25","19190","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Female","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Male","5","5","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Female","5","5","[c]","[c]"
"In post","2022","16-19","FCDO Services","Male","20","20","[c]","[c]"
