"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Female","130","110","40460","30110"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire CC","Male","50","50","51010","53050"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","95","85","40320","32460"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","35","35","48950","53050"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Cheshire","Warrington","Male","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","20","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","Female","25","20","[c]","[c]"
"In post","2022","Attorney General's Departments","Cumbria","East Cumbria","Male","10","10","[c]","[c]"
