"Status","Year","Disability","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","East Midlands (England)","Female","Heterosexual / straight","1395","1240","29190","27570"
"In post","2022","Declared disabled","East Midlands (England)","Female","LGBO","145","140","29020","27570"
"In post","2022","Declared disabled","East Midlands (England)","Female","Undeclared","195","170","29120","27570"
"In post","2022","Declared disabled","East Midlands (England)","Female","Unknown","90","80","27440","27070"
"In post","2022","Declared disabled","East Midlands (England)","Male","Heterosexual / straight","825","790","29250","27570"
"In post","2022","Declared disabled","East Midlands (England)","Male","LGBO","100","95","30500","27570"
"In post","2022","Declared disabled","East Midlands (England)","Male","Undeclared","125","115","29550","27570"
"In post","2022","Declared disabled","East Midlands (England)","Male","Unknown","80","75","27660","27350"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Female","Heterosexual / straight","1290","1150","30000","27570"
"In post","2022","Declared disabled","East of England","Female","LGBO","105","105","28110","27570"
"In post","2022","Declared disabled","East of England","Female","Undeclared","160","145","29260","27570"
"In post","2022","Declared disabled","East of England","Female","Unknown","115","95","28800","27570"
"In post","2022","Declared disabled","East of England","Male","Heterosexual / straight","795","755","31570","29290"
"In post","2022","Declared disabled","East of England","Male","LGBO","80","80","30040","27570"
"In post","2022","Declared disabled","East of England","Male","Undeclared","115","105","31510","29530"
"In post","2022","Declared disabled","East of England","Male","Unknown","45","40","28940","27570"
"In post","2022","Declared disabled","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Female","Heterosexual / straight","4390","4120","40360","34920"
"In post","2022","Declared disabled","London","Female","LGBO","595","575","41310","36330"
"In post","2022","Declared disabled","London","Female","Undeclared","580","545","39780","34140"
"In post","2022","Declared disabled","London","Female","Unknown","310","275","37540","31660"
"In post","2022","Declared disabled","London","Male","Heterosexual / straight","2840","2760","42850","37660"
"In post","2022","Declared disabled","London","Male","LGBO","555","550","44980","40050"
"In post","2022","Declared disabled","London","Male","Undeclared","435","420","41530","36520"
"In post","2022","Declared disabled","London","Male","Unknown","225","220","39190","34750"
"In post","2022","Declared disabled","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North East (England)","Female","Heterosexual / straight","1895","1630","27960","27120"
"In post","2022","Declared disabled","North East (England)","Female","LGBO","140","135","28310","27570"
"In post","2022","Declared disabled","North East (England)","Female","Undeclared","185","155","27630","26120"
"In post","2022","Declared disabled","North East (England)","Female","Unknown","165","130","24750","22080"
"In post","2022","Declared disabled","North East (England)","Male","Heterosexual / straight","1090","1020","29230","27130"
"In post","2022","Declared disabled","North East (England)","Male","LGBO","115","110","28560","26820"
"In post","2022","Declared disabled","North East (England)","Male","Undeclared","125","115","29770","27550"
"In post","2022","Declared disabled","North East (England)","Male","Unknown","115","105","27590","25560"
"In post","2022","Declared disabled","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North East (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Female","Heterosexual / straight","3675","3235","29100","27570"
"In post","2022","Declared disabled","North West (England)","Female","LGBO","315","300","28850","26820"
"In post","2022","Declared disabled","North West (England)","Female","Undeclared","405","355","28000","27570"
"In post","2022","Declared disabled","North West (England)","Female","Unknown","360","295","27320","26120"
"In post","2022","Declared disabled","North West (England)","Male","Heterosexual / straight","2070","1965","30330","27570"
"In post","2022","Declared disabled","North West (England)","Male","LGBO","310","300","30190","27570"
"In post","2022","Declared disabled","North West (England)","Male","Undeclared","330","310","29560","27120"
"In post","2022","Declared disabled","North West (England)","Male","Unknown","215","195","27790","26970"
"In post","2022","Declared disabled","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
