"Status","Year","Function_of_post","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Heterosexual / straight","45","40","50280","48000"
"In post","2022","Analysis","Digital, Data and Technology","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","Heterosexual / straight","70","65","40750","41300"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Economics","London","Heterosexual / straight","745","730","49800","51710"
"In post","2022","Analysis","Economics","London","LGBO","70","70","45340","38210"
"In post","2022","Analysis","Economics","London","Undeclared","100","95","49950","53090"
"In post","2022","Analysis","Economics","London","Unknown","155","155","47050","38150"
"In post","2022","Analysis","Economics","Outside London","Heterosexual / straight","205","200","39540","34490"
"In post","2022","Analysis","Economics","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Economics","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Economics","Outside London","Unknown","60","60","38040","33000"
"In post","2022","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
