"Status","Year","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","Heterosexual / straight","75","70","33710","30040"
"In post","2022","Accountant in Bankruptcy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","Unknown","30","25","28310","23230"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","135","130","44300","39240"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Unknown","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Heterosexual / straight","585","535","31950","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","LGBO","45","45","29830","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Undeclared","85","80","32510","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","Unknown","120","115","26830","24250"
"In post","2022","Animal and Plant Health Agency","London","Heterosexual / straight","75","75","34220","31690"
"In post","2022","Animal and Plant Health Agency","London","LGBO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","Heterosexual / straight","2005","1910","30270","26730"
"In post","2022","Animal and Plant Health Agency","Outside London","LGBO","150","145","26800","24920"
"In post","2022","Animal and Plant Health Agency","Outside London","Undeclared","325","310","33330","30190"
"In post","2022","Animal and Plant Health Agency","Outside London","Unknown","295","265","29620","25740"
"In post","2022","Animal and Plant Health Agency","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","Unknown","30","30","55230","51900"
"In post","2022","Cabinet Office (excl. agencies)","London","Heterosexual / straight","3055","3000","52670","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","LGBO","360","360","48200","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Undeclared","395","385","51190","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","Unknown","2615","2595","47240","34550"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","1475","1405","38200","33300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","LGBO","135","130","35070","32000"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Undeclared","125","120","38960","33300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","Unknown","1300","1275","48780","40580"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","145","145","41900","37300"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","300","295","34900","29250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","240","230","34540","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","35","35","34720","32770"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","355","335","34100","30220"
"In post","2022","Charity Commission","London","Heterosexual / straight","45","45","43990","37910"
"In post","2022","Charity Commission","London","LGBO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","Unknown","30","30","43990","37910"
"In post","2022","Charity Commission","Outside London","Heterosexual / straight","200","190","32910","29160"
"In post","2022","Charity Commission","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Charity Commission","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Charity Commission","Outside London","Unknown","160","150","30740","29160"
"In post","2022","Companies House","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Companies House","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Outside London","Heterosexual / straight","805","750","31920","27460"
"In post","2022","Companies House","Outside London","LGBO","40","40","29590","24500"
"In post","2022","Companies House","Outside London","Undeclared","90","85","31380","25100"
"In post","2022","Companies House","Outside London","Unknown","230","210","27670","22740"
"In post","2022","Competition and Markets Authority","London","Heterosexual / straight","645","620","61100","56630"
"In post","2022","Competition and Markets Authority","London","LGBO","55","55","59330","56360"
"In post","2022","Competition and Markets Authority","London","Undeclared","60","60","63050","60600"
"In post","2022","Competition and Markets Authority","London","Unknown","30","30","70220","62980"
"In post","2022","Competition and Markets Authority","Outside London","Heterosexual / straight","55","55","58430","55860"
"In post","2022","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","Heterosexual / straight","195","180","28350","25120"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","Unknown","80","75","25900","25120"
